STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,OnePlus,N6x,https://www.gsmarena.com/oneplus_n6x-14849.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-n6x.jpg,Success,
2,OnePlus,N6,https://www.gsmarena.com/oneplus_n6-14760.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-n6.jpg,Success,
3,OnePlus,Pad 3 Pro,https://www.gsmarena.com/oneplus_pad_3_pro-14739.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-4-new.jpg,Success,
4,OnePlus,Turbo 6X Pro,https://www.gsmarena.com/oneplus_turbo_6x_pro_5g-14711.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6x-pro.jpg,Success,
5,OnePlus,Turbo 6X,https://www.gsmarena.com/oneplus_turbo_6x_5g-14712.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6x.jpg,Success,
6,OnePlus,Nord CE6,https://www.gsmarena.com/oneplus_nord_ce6_5g-14611.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6v.jpg,Success,
7,OnePlus,Nord CE6 Lite,https://www.gsmarena.com/oneplus_nord_ce6_lite_5g-14567.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-6-lite.jpg,Success,
8,OnePlus,Ace 6 Ultra,https://www.gsmarena.com/oneplus_ace_6_ultra_5g-14637.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-6-ultra.jpg,Success,
9,OnePlus,Pad 4,https://www.gsmarena.com/oneplus_pad_4-14630.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-4-new.jpg,Success,
10,OnePlus,Watch 4,https://www.gsmarena.com/oneplus_watch_4-14622.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-watch-4.jpg,Success,
11,OnePlus,Nord 6,https://www.gsmarena.com/oneplus_nord_6_5g-14558.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6.jpg,Success,
12,OnePlus,15T,https://www.gsmarena.com/oneplus_15t_5g-14385.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-15t.jpg,Success,
13,OnePlus,Turbo 6,https://www.gsmarena.com/oneplus_turbo_6_5g-14260.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6.jpg,Success,
14,OnePlus,Turbo 6V,https://www.gsmarena.com/oneplus_turbo_6v_5g-14404.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-turbo-6v.jpg,Success,
15,OnePlus,15R,https://www.gsmarena.com/oneplus_15r_5g-14358.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-15r.jpg,Success,
16,OnePlus,Pad Go 2,https://www.gsmarena.com/oneplus_pad_go_2_5g-14343.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-go2.jpg,Success,
17,OnePlus,Watch Lite,https://www.gsmarena.com/oneplus_watch_lite-14365.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch-3-lite.jpg,Success,
18,OnePlus,Ace 6T,https://www.gsmarena.com/oneplus_ace_6t_5g-14315.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-6t.jpg,Success,
19,OnePlus,15,https://www.gsmarena.com/oneplus_15_5g-14206.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-15.jpg,Success,
20,OnePlus,Ace 6,https://www.gsmarena.com/oneplus_ace_6_5g-14259.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace6.jpg,Success,
21,OnePlus,Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord5.jpg,Success,
22,OnePlus,Nord CE5,https://www.gsmarena.com/oneplus_nord_ce5_5g-13792.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce5.jpg,Success,
23,OnePlus,Watch 3 43mm,https://www.gsmarena.com/oneplus_watch_3_43mm-13957.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch3-43mm.jpg,Success,
24,OnePlus,Pad Lite,https://www.gsmarena.com/oneplus_pad_lite-13956.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-lite.jpg,Success,
25,OnePlus,Pad 3,https://www.gsmarena.com/oneplus_pad_3_(global)-13881.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-2-pro.jpg,Success,
26,OnePlus,13s,https://www.gsmarena.com/oneplus_13s_5g-13818.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-13s-.jpg,Success,
27,OnePlus,Ace 5 Ultra,https://www.gsmarena.com/oneplus_ace_5_ultra_5g-13891.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-5-ultra.jpg,Success,
28,OnePlus,Ace 5 Racing,https://www.gsmarena.com/oneplus_ace_5_racing_5g-13892.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-5-racing.jpg,Success,
29,OnePlus,Pad 2 Pro,https://www.gsmarena.com/oneplus_pad_2_pro-13860.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-2-pro.jpg,Success,
30,OnePlus,13T,https://www.gsmarena.com/oneplus_13t_5g-13791.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-13t.jpg,Success,
31,OnePlus,Watch 3,https://www.gsmarena.com/oneplus_watch_3-13668.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch3.jpg,Success,
32,OnePlus,13R,https://www.gsmarena.com/oneplus_13r-13548.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-13r.jpg,Success,
33,OnePlus,Ace 5 Pro,https://www.gsmarena.com/oneplus_ace_5_pro-13591.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace5-pro.jpg,Success,
34,OnePlus,Ace 5,https://www.gsmarena.com/oneplus_ace_5-13592.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace5.jpg,Success,
35,OnePlus,Pad 3 (China),https://www.gsmarena.com/oneplus_pad_3-13593.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad3.jpg,Success,
36,OnePlus,13,https://www.gsmarena.com/oneplus_13-13477.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-13.jpg,Success,
37,OnePlus,Nord 4,https://www.gsmarena.com/oneplus_nord_4-13200.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord4.jpg,Success,
38,OnePlus,Pad 2,https://www.gsmarena.com/oneplus_pad_2-13210.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad2.jpg,Success,
39,OnePlus,Watch 2R,https://www.gsmarena.com/oneplus_watch_2r-13209.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch-2r.jpg,Success,
40,OnePlus,Ace 3 Pro,https://www.gsmarena.com/oneplus_ace_3_pro-13179.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace3-pro.jpg,Success,
41,OnePlus,Pad Pro,https://www.gsmarena.com/oneplus_pad_pro-13180.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-pro.jpg,Success,
42,OnePlus,Watch 2 (eSIM),https://www.gsmarena.com/oneplus_watch_2_(esim)-13181.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch2-china.jpg,Success,
43,OnePlus,Nord CE4 Lite,https://www.gsmarena.com/oneplus_nord_ce4_lite-13166.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4-lite-intl.jpg,Success,
44,OnePlus,Nord CE4 Lite (India),https://www.gsmarena.com/oneplus_nord_ce4_lite_(india)-13155.php,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4-lite-.jpg,Success,
