STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Oppo,A7 Pro Max,https://www.gsmarena.com/oppo_a7_pro_max_5g-14828.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a7-pro-max.jpg,Success,
2,Oppo,K15,https://www.gsmarena.com/oppo_k15_5g-14810.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-k15.jpg,Success,
3,Oppo,Reno16c,https://www.gsmarena.com/oppo_reno16c_5g-14768.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno16-f.jpg,Success,
4,Oppo,Reno16 Pro,https://www.gsmarena.com/oppo_reno16_pro_5g-14746.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno16-pro.jpg,Success,
5,Oppo,Reno16,https://www.gsmarena.com/oppo_reno16_5g-14747.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno16.jpg,Success,
6,Oppo,Reno16 FS,https://www.gsmarena.com/oppo_reno16_fs_5g-14752.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno16-f.jpg,Success,
7,Oppo,Reno16 F,https://www.gsmarena.com/oppo_reno16_f_5g-14751.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno16-f.jpg,Success,
8,Oppo,Reno16 Pro (China),https://www.gsmarena.com/oppo_reno16_pro_5g_(china)-14675.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno16-pro-cn.jpg,Success,
9,Oppo,Reno16 (China),https://www.gsmarena.com/oppo_reno16_5g_(china)-14676.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno16-cn.jpg,Success,
10,Oppo,Pad 6,https://www.gsmarena.com/oppo_pad_6-14690.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-pad6.jpg,Success,
11,Oppo,Find X9 Ultra,https://www.gsmarena.com/oppo_find_x9_ultra_5g-14548.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x9-ultra-new.jpg,Success,
12,Oppo,Find X9s Pro,https://www.gsmarena.com/oppo_find_x9s_pro-14592.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x9s-pro-new.jpg,Success,
13,Oppo,Find X9s,https://www.gsmarena.com/oppo_find_x9s_5g-14617.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x9s-new.jpg,Success,
14,Oppo,Pad 5 Pro,https://www.gsmarena.com/oppo_pad_5_pro-14621.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-pad5-pro.jpg,Success,
15,Oppo,Pad Mini,https://www.gsmarena.com/oppo_pad_mini-14624.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-pad-mini.jpg,Success,
16,Oppo,Watch X3 Mini,https://www.gsmarena.com/oppo_watch_x3_mini-14619.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-watch-x3-mini.jpg,Success,
17,Oppo,F33 Pro,https://www.gsmarena.com/oppo_f33_pro_5g-14601.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-f33-pro.jpg,Success,
18,Oppo,F33,https://www.gsmarena.com/oppo_f33_5g-14602.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-f33.jpg,Success,
19,Oppo,A6s Pro (China),https://www.gsmarena.com/oppo_a6s_pro_5g_(china)-14597.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6s-pro-cn.jpg,Success,
20,Oppo,A6c,https://www.gsmarena.com/oppo_a6c-14418.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6c-global.jpg,Success,
21,Oppo,A6k,https://www.gsmarena.com/oppo_a6k-14588.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6k.jpg,Success,
22,Oppo,K15 Pro+,https://www.gsmarena.com/oppo_k15_pro+_5g-14572.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-k15-pro-plus.jpg,Success,
23,Oppo,K15 Pro,https://www.gsmarena.com/oppo_k15_pro_5g-14573.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-k15-pro.jpg,Success,
24,Oppo,Find N6,https://www.gsmarena.com/oppo_find_n6_5g-14389.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-n6.jpg,Success,
25,Oppo,K14,https://www.gsmarena.com/oppo_k14_5g-14530.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6t-pro.jpg,Success,
26,Oppo,Watch X3,https://www.gsmarena.com/oppo_watch_x3-14547.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-watch-x3.jpg,Success,
27,Oppo,A6s (India),https://www.gsmarena.com/oppo_a6s_5g_(india)-14546.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6x-.jpg,Success,
28,Oppo,A6s Pro,https://www.gsmarena.com/oppo_a6s_pro-14523.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6s-pro.jpg,Success,
29,Oppo,K14x,https://www.gsmarena.com/oppo_k14x_5g-14458.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6t-.jpg,Success,
30,Oppo,Reno15c (India),https://www.gsmarena.com/oppo_reno15c_5g_(india)-14513.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-f.jpg,Success,
31,Oppo,Reno15 FS,https://www.gsmarena.com/oppo_reno15_fs_5g-14373.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-f.jpg,Success,
32,Oppo,A6c (China),https://www.gsmarena.com/oppo_a6c_(china)-14591.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6c.jpg,Success,
33,Oppo,A6t Pro 4G,https://www.gsmarena.com/oppo_a6t_pro-14415.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6t-pro.jpg,Success,
34,Oppo,A6t,https://www.gsmarena.com/oppo_a6t_5g-14417.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6t-5g.jpg,Success,
35,Oppo,A6t 4G,https://www.gsmarena.com/oppo_a6t-14416.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6t-.jpg,Success,
36,Oppo,A6,https://www.gsmarena.com/oppo_a6_5g-14412.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6.jpg,Success,
37,Oppo,A6 4G,https://www.gsmarena.com/oppo_a6-14413.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6-4g.jpg,Success,
38,Oppo,A6x,https://www.gsmarena.com/oppo_a6x_5g_(global)-14414.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6x-int.jpg,Success,
39,Oppo,A6s 4G,https://www.gsmarena.com/oppo_a6s-14411.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6s.jpg,Success,
40,Oppo,A6s,https://www.gsmarena.com/oppo_a6s_5g-14410.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6s.jpg,Success,
41,Oppo,Reno15 Pro (India),https://www.gsmarena.com/oppo_reno15_pro_5g_(india)-14406.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-pro.jpg,Success,
42,Oppo,Reno15 Pro Mini,https://www.gsmarena.com/oppo_reno15_pro_mini_5g-14393.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-pro-global.jpg,Success,
43,Oppo,A6 Pro (India),https://www.gsmarena.com/oppo_a6_pro_5g_(india)-14399.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6-pro-in.jpg,Success,
44,Oppo,Reno15 Pro Max,https://www.gsmarena.com/oppo_reno15_pro_max_5g-14220.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-pro.jpg,Success,
45,Oppo,Reno15 Pro,https://www.gsmarena.com/oppo_reno15_pro_5g_(global)-14394.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-pro-global.jpg,Success,
46,Oppo,Reno15,https://www.gsmarena.com/oppo_reno15_5g_(global)-14395.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-global.jpg,Success,
47,Oppo,Reno15 F,https://www.gsmarena.com/oppo_reno15_f_5g-14396.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-f.jpg,Success,
48,Oppo,Reno 15c,https://www.gsmarena.com/oppo_reno_15c_5g-14347.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno-15c.jpg,Success,
49,Oppo,Pad 5 Matte Display,https://www.gsmarena.com/oppo_pad_air5-14382.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-pad-air5.jpg,Success,
50,Oppo,A6x (India),https://www.gsmarena.com/oppo_a6x_5g-14321.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6x-5g.jpg,Success,
51,Oppo,A6x 4G,https://www.gsmarena.com/oppo_a6x-14322.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-a6x-.jpg,Success,
52,Oppo,Reno15 Pro (China),https://www.gsmarena.com/oppo_reno15_pro_5g-14286.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15-pro.jpg,Success,
53,Oppo,Reno15 (China),https://www.gsmarena.com/oppo_reno15_5g-14288.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-reno15.jpg,Success,
54,Oppo,Find X9 Pro,https://www.gsmarena.com/oppo_find_x9_pro-14094.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x9-pro.jpg,Success,
55,Oppo,Find X9,https://www.gsmarena.com/oppo_find_x9_5g-14235.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x9.jpg,Success,
56,Oppo,Pad 5 (China),https://www.gsmarena.com/oppo_pad_5-14236.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-pad5.jpg,Success,
57,Oppo,Watch S,https://www.gsmarena.com/oppo_watch_s-14237.php,https://fdn2.gsmarena.com/vv/bigpic/oppo-watch-s.jpg,Success,
