STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Orange,Neva jet 5G,https://www.gsmarena.com/orange_neva_jet_5g-9981.php,https://fdn2.gsmarena.com/vv/bigpic/orange-neva-jet-5g.jpg,Success,
2,Orange,Rono,https://www.gsmarena.com/orange_rono-6553.php,https://fdn2.gsmarena.com/vv/bigpic/orange-rono.jpg,Success,
3,Orange,Gova,https://www.gsmarena.com/orange_gova-6142.php,https://fdn2.gsmarena.com/vv/bigpic/orange-gova.jpg,Success,
4,Orange,Reyo,https://www.gsmarena.com/orange_reyo-6143.php,https://fdn2.gsmarena.com/vv/bigpic/orange-reyo.jpg,Success,
5,Orange,Hiro,https://www.gsmarena.com/orange_hiro-5857.php,https://fdn2.gsmarena.com/vv/bigpic/orange-hiro.jpg,Success,
6,Orange,San Diego,https://www.gsmarena.com/orange_san_diego-4588.php,https://fdn2.gsmarena.com/vv/bigpic/orange-san-diego.jpg,Success,
7,Orange,Tahiti,https://www.gsmarena.com/orange_tahiti-4427.php,https://fdn2.gsmarena.com/vv/bigpic/orange-tahiti.jpg,Success,
8,Orange,Monte Carlo,https://www.gsmarena.com/orange_monte_carlo-4619.php,https://fdn2.gsmarena.com/vv/bigpic/orange-monte-carlo.jpg,Success,
9,Orange,San Francisco II,https://www.gsmarena.com/orange_san_francisco_ii-4330.php,https://fdn2.gsmarena.com/vv/bigpic/Orange-San-Francisco-II.jpg,Success,
10,Orange,Sydney,https://www.gsmarena.com/orange_sydney-4617.php,https://fdn2.gsmarena.com/vv/bigpic/orange-sydney.jpg,Success,
11,Orange,Miami,https://www.gsmarena.com/orange_miami-4616.php,https://fdn2.gsmarena.com/vv/bigpic/orange-miami.jpg,Success,
12,Orange,Malibu,https://www.gsmarena.com/orange_malibu-4407.php,https://fdn2.gsmarena.com/vv/bigpic/orange-malibu.jpg,Success,
13,Orange,Dallas,https://www.gsmarena.com/orange_dallas-4615.php,https://fdn2.gsmarena.com/vv/bigpic/orange-dallas.jpg,Success,
14,Orange,San Francisco,https://www.gsmarena.com/orange_san_francisco-4081.php,https://fdn2.gsmarena.com/vv/bigpic/orange-san-francisco.jpg,Success,
15,Orange,Stockholm,https://www.gsmarena.com/orange_stockholm-4082.php,https://fdn2.gsmarena.com/vv/bigpic/orange-stockholm.jpg,Success,
16,Orange,Atlanta,https://www.gsmarena.com/orange_atlanta-4145.php,https://fdn2.gsmarena.com/vv/bigpic/zte-orange-atlanta.jpg,Success,
17,Orange,Rio II,https://www.gsmarena.com/orange_rio_ii-4084.php,https://fdn2.gsmarena.com/vv/bigpic/orange-rio-ii.jpg,Success,
18,Orange,Barcelona,https://www.gsmarena.com/orange_barcelona-4083.php,https://fdn2.gsmarena.com/vv/bigpic/orange-barcelona.jpg,Success,
19,Orange,Rio,https://www.gsmarena.com/orange_rio-4618.php,https://fdn2.gsmarena.com/vv/bigpic/orange-rio.jpg,Success,
