STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Oscal,Pilot 6,https://www.gsmarena.com/oscal_pilot_6-14835.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot6.jpg,Success,
2,Oscal,Pilot 8,https://www.gsmarena.com/oscal_pilot_8_5g-14822.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot8.jpg,Success,
3,Oscal,Tank 1,https://www.gsmarena.com/oscal_tank_1_5g-14230.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-tank1.jpg,Success,
4,Oscal,Tiger 8,https://www.gsmarena.com/oscal_tiger_8_5g-14155.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-tiger8.jpg,Success,
5,Oscal,Pilot 3,https://www.gsmarena.com/oscal_pilot_3-13935.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot3.jpg,Success,
6,Oscal,Pad 100,https://www.gsmarena.com/oscal_pad_100-13859.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pad-100.jpg,Success,
7,Oscal,Marine 2,https://www.gsmarena.com/oscal_marine_2-13851.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-marine2.jpg,Success,
8,Oscal,Marine 1,https://www.gsmarena.com/oscal_marine_1-13850.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-marine1.jpg,Success,
9,Oscal,Pad 90,https://www.gsmarena.com/oscal_pad_90-13645.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pad90.jpg,Success,
10,Oscal,Pad 80 WiFi,https://www.gsmarena.com/oscal_pad_80_wifi-13644.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pad80-wifi.jpg,Success,
11,Oscal,Pad 70 WiFi,https://www.gsmarena.com/oscal_pad_70_wifi-13643.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pad70-wifi.jpg,Success,
12,Oscal,Pilot 1,https://www.gsmarena.com/oscal_pilot_1-13642.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot1.jpg,Success,
13,Oscal,Flat 2C,https://www.gsmarena.com/oscal_flat_2c-13640.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-flat2c.jpg,Success,
14,Oscal,Flat 2,https://www.gsmarena.com/oscal_flat_2-13639.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-flat2.jpg,Success,
15,Oscal,Tiger 13,https://www.gsmarena.com/oscal_tiger_13-13457.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-tiger13.jpg,Success,
16,Oscal,Elite 1,https://www.gsmarena.com/oscal_elite_1-13058.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-elite.jpg,Success,
17,Oscal,Pilot 2,https://www.gsmarena.com/oscal_pilot_2-13057.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot2.jpg,Success,
18,Oscal,Modern 8,https://www.gsmarena.com/oscal_modern_8-13051.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-modern-8.jpg,Success,
19,Oscal,Pad 16,https://www.gsmarena.com/oscal_pad_16-12793.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad16.jpg,Success,
20,Oscal,Pad 18,https://www.gsmarena.com/oscal_pad_18-12739.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-18.jpg,Success,
21,Oscal,Tiger 12,https://www.gsmarena.com/oscal_tiger_12-12701.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-tiger12.jpg,Success,
22,Oscal,Tiger 10,https://www.gsmarena.com/oscal_tiger_10-12681.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-tiger10.jpg,Success,
23,Oscal,S70 Pro,https://www.gsmarena.com/oscal_s70_pro-12592.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-s70-pro.jpg,Success,
24,Oscal,Spider 8,https://www.gsmarena.com/oscal_spider_8-12594.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-spider8.jpg,Success,
25,Oscal,Pad 15,https://www.gsmarena.com/oscal_pad_15-12595.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-pad-15.jpg,Success,
26,Oscal,C30 Pro,https://www.gsmarena.com/oscal_c30_pro-12409.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c30-pro.jpg,Success,
27,Oscal,Pad 70,https://www.gsmarena.com/oscal_pad_70-12407.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-70.jpg,Success,
28,Oscal,Pad 60,https://www.gsmarena.com/oscal_pad_60-12406.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-60.jpg,Success,
29,Oscal,C70,https://www.gsmarena.com/oscal_c70-12267.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c70.jpg,Success,
30,Oscal,Pad 13,https://www.gsmarena.com/oscal_pad_13-12241.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-13.jpg,Success,
31,Oscal,S80,https://www.gsmarena.com/oscal_s80-12115.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-s80.jpg,Success,
32,Oscal,Pad 10,https://www.gsmarena.com/oscal_pad_10-12057.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-10.jpg,Success,
33,Oscal,C80,https://www.gsmarena.com/oscal_c80-11872.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c80.jpg,Success,
