STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Oukitel,WP100 Plus,https://www.gsmarena.com/oukitel_wp100_plus-14848.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp100-plus.jpg,Success,
2,Oukitel,WP68 Air,https://www.gsmarena.com/oukitel_wp68_air_5g-14824.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp68-air.jpg,Success,
3,Oukitel,C17 Plus,https://www.gsmarena.com/oukitel_c17_plus-14823.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c17-plus.jpg,Success,
4,Oukitel,WP500 Ultra,https://www.gsmarena.com/oukitel_wp500_ultra_5g-14764.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp500-ultra.jpg,Success,
5,Oukitel,WP500,https://www.gsmarena.com/oukitel_wp500_5g-14761.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp500.jpg,Success,
6,Oukitel,C67,https://www.gsmarena.com/oukitel_c67-14758.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c67.jpg,Success,
7,Oukitel,C72,https://www.gsmarena.com/oukitel_c72-14759.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c72.jpg,Success,
8,Oukitel,C26,https://www.gsmarena.com/oukitel_c26-14719.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c26-.jpg,Success,
9,Oukitel,C62 GT,https://www.gsmarena.com/oukitel_c62_gt-14720.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c62-gt.jpg,Success,
10,Oukitel,G6,https://www.gsmarena.com/oukitel_g6-14721.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-g6-.jpg,Success,
11,Oukitel,G7,https://www.gsmarena.com/oukitel_g7-14722.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-g7.jpg,Success,
12,Oukitel,WP23S,https://www.gsmarena.com/oukitel_wp23s-14723.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp23s-.jpg,Success,
13,Oukitel,WP61,https://www.gsmarena.com/oukitel_wp61_5g-14725.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp61.jpg,Success,
14,Oukitel,WP61 Plus,https://www.gsmarena.com/oukitel_wp61_plus_5g-14726.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp61-plus.jpg,Success,
15,Oukitel,WP61 Ultra,https://www.gsmarena.com/oukitel_wp61_ultra_5g-14727.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp61-ultra.jpg,Success,
16,Oukitel,WP66,https://www.gsmarena.com/oukitel_wp66_5g-14730.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp66.jpg,Success,
17,Oukitel,RT10,https://www.gsmarena.com/oukitel_rt10_5g-14731.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt10.jpg,Success,
18,Oukitel,C17,https://www.gsmarena.com/oukitel_c17-14482.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c17.jpg,Success,
19,Oukitel,RT10 Industry,https://www.gsmarena.com/oukitel_rt10_industry_5g-14462.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt10-industry.jpg,Success,
20,Oukitel,C7,https://www.gsmarena.com/oukitel_c7-14331.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c7.jpg,Success,
21,Oukitel,C68,https://www.gsmarena.com/oukitel_c68-14332.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c68.jpg,Success,
22,Oukitel,WP55 S,https://www.gsmarena.com/oukitel_wp55_s-14333.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp55s.jpg,Success,
23,Oukitel,WP58,https://www.gsmarena.com/oukitel_wp58_5g-14334.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp58.jpg,Success,
24,Oukitel,WP60,https://www.gsmarena.com/oukitel_wp60_5g-14335.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp60.jpg,Success,
25,Oukitel,WP62,https://www.gsmarena.com/oukitel_wp62_5g-14336.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp62.jpg,Success,
26,Oukitel,C69,https://www.gsmarena.com/oukitel_c69-14254.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c69.jpg,Success,
27,Oukitel,P1 Pro,https://www.gsmarena.com/oukitel_p1_pro-14255.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-p1-pro.jpg,Success,
28,Oukitel,C2,https://www.gsmarena.com/oukitel_c2-14256.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c2.jpg,Success,
29,Oukitel,C3,https://www.gsmarena.com/oukitel_c3-14257.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c3.jpg,Success,
30,Oukitel,C5,https://www.gsmarena.com/oukitel_c5-14258.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c5.jpg,Success,
31,Oukitel,C6,https://www.gsmarena.com/oukitel_c6_5g-14261.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c6.jpg,Success,
32,Oukitel,C62 Pro,https://www.gsmarena.com/oukitel_c62_pro-14262.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c62-pro.jpg,Success,
33,Oukitel,C62,https://www.gsmarena.com/oukitel_c62-14263.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c62-pro.jpg,Success,
34,Oukitel,C65 Pro,https://www.gsmarena.com/oukitel_c65_pro-14264.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c65-pro.jpg,Success,
35,Oukitel,C65,https://www.gsmarena.com/oukitel_c65-14265.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c65-pro.jpg,Success,
36,Oukitel,OT6 Pro,https://www.gsmarena.com/oukitel_ot6_pro-14249.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot6-pro.jpg,Success,
37,Oukitel,WP210,https://www.gsmarena.com/oukitel_wp210_5g-14185.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp210.jpg,Success,
38,Oukitel,WP200,https://www.gsmarena.com/oukitel_wp200_5g-14186.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp200.jpg,Success,
39,Oukitel,WP56,https://www.gsmarena.com/oukitel_wp56_5g-14187.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp56.jpg,Success,
40,Oukitel,WP55 Ultra,https://www.gsmarena.com/oukitel_wp55_ultra_5g-14188.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp55-ultra.jpg,Success,
41,Oukitel,WP53,https://www.gsmarena.com/oukitel_wp53-14189.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp53.jpg,Success,
42,Oukitel,G5,https://www.gsmarena.com/oukitel_g5-14190.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-g5.jpg,Success,
43,Oukitel,G3,https://www.gsmarena.com/oukitel_g3-14191.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-g3.jpg,Success,
44,Oukitel,C1 Pro,https://www.gsmarena.com/oukitel_c1_pro-14165.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c1-pro.jpg,Success,
45,Oukitel,C61,https://www.gsmarena.com/oukitel_c61-14164.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c61.jpg,Success,
46,Oukitel,C60,https://www.gsmarena.com/oukitel_c60-14163.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c60.jpg,Success,
47,Oukitel,C59,https://www.gsmarena.com/oukitel_c59-14162.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c59.jpg,Success,
48,Oukitel,WP300,https://www.gsmarena.com/oukitel_wp300-14034.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp300.jpg,Success,
49,Oukitel,WP200 Pro,https://www.gsmarena.com/oukitel_wp200_pro-14033.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp200-pro.jpg,Success,
50,Oukitel,WP100 Titan,https://www.gsmarena.com/oukitel_wp100_titan-14032.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp100-plus.jpg,Success,
51,Oukitel,WP23 Plus,https://www.gsmarena.com/oukitel_wp23_plus-14031.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp23-plus.jpg,Success,
52,Oukitel,WP55,https://www.gsmarena.com/oukitel_wp55-14030.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp55.jpg,Success,
53,Oukitel,WP55 Pro,https://www.gsmarena.com/oukitel_wp55_pro-14029.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp55-pro-0.jpg,Success,
54,Oukitel,WP39 Pro,https://www.gsmarena.com/oukitel_wp39_pro-14028.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp39-pro.jpg,Success,
55,Oukitel,WP35 Pro,https://www.gsmarena.com/oukitel_wp35_pro-14027.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp35-pro.jpg,Success,
56,Oukitel,WP36 Pro,https://www.gsmarena.com/oukitel_wp36_pro-13510.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp36-1.jpg,Success,
57,Oukitel,OT9,https://www.gsmarena.com/oukitel_ot9-13511.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot9.jpg,Success,
58,Oukitel,BT103,https://www.gsmarena.com/oukitel_bt103-13512.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt103.jpg,Success,
59,Oukitel,C58 Pro,https://www.gsmarena.com/oukitel_c58_pro-13488.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c58-pro.jpg,Success,
60,Oukitel,C58,https://www.gsmarena.com/oukitel_c58-13487.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c58.jpg,Success,
61,Oukitel,P1,https://www.gsmarena.com/oukitel_p1-13486.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-p1.jpg,Success,
62,Oukitel,WP35 S,https://www.gsmarena.com/oukitel_wp35_s-13458.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-wp35s.jpg,Success,
63,Oukitel,RT3 Pro,https://www.gsmarena.com/oukitel_rt3_pro-13459.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rt3-pro.jpg,Success,
64,Oukitel,BT101,https://www.gsmarena.com/oukitel_bt101-13442.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt101.jpg,Success,
65,Oukitel,C57 Pro,https://www.gsmarena.com/oukitel_c57_pro-13440.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c57-pro.jpg,Success,
66,Oukitel,C57s,https://www.gsmarena.com/oukitel_c57s-13441.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c57s.jpg,Success,
67,Oukitel,RT9,https://www.gsmarena.com/oukitel_rt9-13371.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt9.jpg,Success,
68,Oukitel,OT12,https://www.gsmarena.com/oukitel_ot12-13313.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot12.jpg,Success,
69,Oukitel,G2,https://www.gsmarena.com/oukitel_g2-13312.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-g2-.jpg,Success,
70,Oukitel,G1,https://www.gsmarena.com/oukitel_g1-13311.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-g1.jpg,Success,
71,Oukitel,WP28 S,https://www.gsmarena.com/oukitel_wp28_s-13230.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp28s.jpg,Success,
72,Oukitel,WP28 E,https://www.gsmarena.com/oukitel_wp28_e-13229.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp28e.jpg,Success,
73,Oukitel,C53,https://www.gsmarena.com/oukitel_c53-13228.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c53.jpg,Success,
74,Oukitel,OT11,https://www.gsmarena.com/oukitel_ot11-13227.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot11.jpg,Success,
75,Oukitel,WP32 Pro,https://www.gsmarena.com/oukitel_wp32_pro-13314.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp32-pro-.jpg,Success,
76,Oukitel,WP52,https://www.gsmarena.com/oukitel_wp52-13193.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp52.jpg,Success,
77,Oukitel,WP39,https://www.gsmarena.com/oukitel_wp39-13189.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp39.jpg,Success,
78,Oukitel,WP50,https://www.gsmarena.com/oukitel_wp50-13141.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp50.jpg,Success,
79,Oukitel,C50,https://www.gsmarena.com/oukitel_c50-13140.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c50.jpg,Success,
80,Oukitel,C37,https://www.gsmarena.com/oukitel_c37-13096.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c37.jpg,Success,
81,Oukitel,C38,https://www.gsmarena.com/oukitel_c38-13095.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c38.jpg,Success,
82,Oukitel,C51,https://www.gsmarena.com/oukitel_c51-13094.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c51.jpg,Success,
83,Oukitel,WP38,https://www.gsmarena.com/oukitel_wp38-13093.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp38.jpg,Success,
84,Oukitel,WP35,https://www.gsmarena.com/oukitel_wp35-13009.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp35.jpg,Success,
85,Oukitel,BT80,https://www.gsmarena.com/oukitel_bt80-12972.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt80.jpg,Success,
86,Oukitel,RT8,https://www.gsmarena.com/oukitel_rt8-12895.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt8-.jpg,Success,
87,Oukitel,WP36,https://www.gsmarena.com/oukitel_wp36-12894.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp36-1.jpg,Success,
88,Oukitel,OT6,https://www.gsmarena.com/oukitel_ot6-12893.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot6.jpg,Success,
89,Oukitel,WP33 Pro,https://www.gsmarena.com/oukitel_wp33_pro-12781.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp33pro-1.jpg,Success,
90,Oukitel,OT8,https://www.gsmarena.com/oukitel_ot8-12782.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot8.jpg,Success,
91,Oukitel,WP30 Pro,https://www.gsmarena.com/oukitel_wp30_pro-12669.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp30-pro.jpg,Success,
92,Oukitel,OT5,https://www.gsmarena.com/oukitel_ot5-12670.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot5-.jpg,Success,
93,Oukitel,RT7 5G,https://www.gsmarena.com/oukitel_rt7_5g-12672.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt7-.jpg,Success,
94,Oukitel,WP32,https://www.gsmarena.com/oukitel_wp32-12649.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp32-.jpg,Success,
95,Oukitel,WP23Pro,https://www.gsmarena.com/oukitel_wp23pro-12650.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp23pro.jpg,Success,
96,Oukitel,WP27,https://www.gsmarena.com/oukitel_wp27-12651.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp27.jpg,Success,
97,Oukitel,BT50,https://www.gsmarena.com/oukitel_bt50-12944.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt50.jpg,Success,
98,Oukitel,BT10,https://www.gsmarena.com/oukitel_bt10-12678.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt10-.jpg,Success,
99,Oukitel,BT20,https://www.gsmarena.com/oukitel_bt20-12679.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt20-.jpg,Success,
100,Oukitel,WP28,https://www.gsmarena.com/oukitel_wp28-12652.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp28-.jpg,Success,
101,Oukitel,WP26,https://www.gsmarena.com/oukitel_wp26-12653.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp26-.jpg,Success,
102,Oukitel,RT6,https://www.gsmarena.com/oukitel_rt6-12673.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt6-.jpg,Success,
103,Oukitel,OKT3,https://www.gsmarena.com/oukitel_okt3-12671.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-okt3-1.jpg,Success,
104,Oukitel,RT5,https://www.gsmarena.com/oukitel_rt5-12674.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt5-.jpg,Success,
105,Oukitel,WP23,https://www.gsmarena.com/oukitel_wp23-12654.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp23.jpg,Success,
106,Oukitel,WP22,https://www.gsmarena.com/oukitel_wp22-12655.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp22-.jpg,Success,
107,Oukitel,WP21 Ultra,https://www.gsmarena.com/oukitel_wp21_ultra-12656.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp21-ultra-1.jpg,Success,
108,Oukitel,C36,https://www.gsmarena.com/oukitel_c36-12657.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c36.jpg,Success,
109,Oukitel,C35,https://www.gsmarena.com/oukitel_c35-12658.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c35-1.jpg,Success,
110,Oukitel,K16,https://www.gsmarena.com/oukitel_k16-12659.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-k16.jpg,Success,
111,Oukitel,C33,https://www.gsmarena.com/oukitel_c33-12660.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c33-.jpg,Success,
112,Oukitel,C32,https://www.gsmarena.com/oukitel_c32-12661.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c32.jpg,Success,
113,Oukitel,C31 Pro,https://www.gsmarena.com/oukitel_c31_pro-12662.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c31-pro.jpg,Success,
114,Oukitel,C31,https://www.gsmarena.com/oukitel_c31-12663.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c31-.jpg,Success,
115,Oukitel,WP20,https://www.gsmarena.com/oukitel_wp20-12664.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp20-.jpg,Success,
116,Oukitel,WP19,https://www.gsmarena.com/oukitel_wp19-12665.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp19-.jpg,Success,
117,Oukitel,WP17,https://www.gsmarena.com/oukitel_wp17-12666.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp17-.jpg,Success,
118,Oukitel,WP18 Pro,https://www.gsmarena.com/oukitel_wp18_pro-12667.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp18-pro.jpg,Success,
119,Oukitel,RT3,https://www.gsmarena.com/oukitel_rt3-12675.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt3.jpg,Success,
120,Oukitel,RT2,https://www.gsmarena.com/oukitel_rt2-12676.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt2.jpg,Success,
121,Oukitel,RT1,https://www.gsmarena.com/oukitel_rt1-12677.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt1.jpg,Success,
