STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Palm,Phone PVG100,https://www.gsmarena.com/palm_phone_pvg100-9290.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg,Success,
2,Palm,Pre 2,https://www.gsmarena.com/palm_pre_2-3559.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,Success,
3,Palm,Pre 2 CDMA,https://www.gsmarena.com/palm_pre_2_cdma-3589.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,Success,
4,Palm,Pixi Plus,https://www.gsmarena.com/palm_pixi_plus-3250.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg,Success,
5,Palm,Pre Plus,https://www.gsmarena.com/palm_pre_plus-3249.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg,Success,
6,Palm,Pixi,https://www.gsmarena.com/palm_pixi-2937.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg,Success,
7,Palm,Pre,https://www.gsmarena.com/palm_pre-2726.php,https://fdn2.gsmarena.com/vv/bigpic/palm-pre.jpg,Success,
8,Palm,Treo Pro,https://www.gsmarena.com/palm_treo_pro-2494.php,https://fdn2.gsmarena.com/vv/bigpic/palm-treo-pro.jpg,Success,
9,Palm,Centro,https://www.gsmarena.com/palm_centro-2241.php,https://fdn2.gsmarena.com/vv/bigpic/palm-centro.jpg,Success,
10,Palm,Treo 500v,https://www.gsmarena.com/palm_treo_500v-2100.php,https://fdn2.gsmarena.com/vv/bigpic/palm-treo500v.gif,Success,
11,Palm,Treo 750,https://www.gsmarena.com/palm_treo_750-1909.php,https://fdn2.gsmarena.com/vv/bigpic/palm-treo750.gif,Success,
12,Palm,Treo 680,https://www.gsmarena.com/palm_treo_680-1741.php,https://fdn2.gsmarena.com/vv/bigpic/palm-treo680.gif,Success,
13,Palm,Treo 750v,https://www.gsmarena.com/palm_treo_750v-1704.php,https://fdn2.gsmarena.com/vv/bigpic/palm-treo750v.gif,Success,
14,Palm,Treo 650,https://www.gsmarena.com/palm_treo_650-907.php,https://fdn2.gsmarena.com/vv/bigpic/hst650.gif,Success,
15,Palm,Treo 600,https://www.gsmarena.com/palm_treo_600-622.php,https://fdn2.gsmarena.com/vv/bigpic/hst600.gif,Success,
16,Palm,Treo 270,https://www.gsmarena.com/palm_treo_270-621.php,https://fdn2.gsmarena.com/vv/bigpic/hst270.gif,Success,
17,Palm,Treo 180,https://www.gsmarena.com/palm_treo_180-623.php,https://fdn2.gsmarena.com/vv/bigpic/hst180.gif,Success,
