STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Panasonic,Eluga I7 (2019),https://www.gsmarena.com/panasonic_eluga_i7_(2019)-9756.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i7-2019-enterprise-edition.jpg,Success,
2,Panasonic,Eluga Ray 800,https://www.gsmarena.com/panasonic_eluga_ray_800-9618.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-ray-800.jpg,Success,
3,Panasonic,P85 Nxt,https://www.gsmarena.com/panasonic_p85_nxt-9389.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p85-.jpg,Success,
4,Panasonic,Eluga Z1 Pro,https://www.gsmarena.com/panasonic_eluga_z1_pro-9383.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-z1-pro.jpg,Success,
5,Panasonic,Eluga Ray 530,https://www.gsmarena.com/panasonic_eluga_ray_530-9376.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-530.jpg,Success,
6,Panasonic,Eluga Ray 600,https://www.gsmarena.com/panasonic_eluga_ray_600-9362.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-600.jpg,Success,
7,Panasonic,Eluga X1 Pro,https://www.gsmarena.com/panasonic_eluga_x1_pro-9356.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-x1-pro.jpg,Success,
8,Panasonic,P90,https://www.gsmarena.com/panasonic_p90-9245.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p90-.jpg,Success,
9,Panasonic,P95,https://www.gsmarena.com/panasonic_p95-9192.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p95-.jpg,Success,
10,Panasonic,Eluga I7,https://www.gsmarena.com/panasonic_eluga_i7-9176.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l7-.jpg,Success,
11,Panasonic,Eluga Ray 550,https://www.gsmarena.com/panasonic_eluga_ray_550-9149.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-550-new.jpg,Success,
12,Panasonic,P101,https://www.gsmarena.com/panasonic_p101-9172.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p101.jpg,Success,
13,Panasonic,P100,https://www.gsmarena.com/panasonic_p100-9062.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p100-.jpg,Success,
14,Panasonic,Eluga I9,https://www.gsmarena.com/panasonic_eluga_i9-8960.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-I9.jpg,Success,
15,Panasonic,Eluga C,https://www.gsmarena.com/panasonic_eluga_c-8954.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-c.jpg,Success,
16,Panasonic,P91,https://www.gsmarena.com/panasonic_p91-8939.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p91.jpg,Success,
17,Panasonic,Eluga I5,https://www.gsmarena.com/panasonic_eluga_i5-8932.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l5.jpg,Success,
