STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Parla,Minu P124,https://www.gsmarena.com/parla_minu_p124-7916.php,https://fdn2.gsmarena.com/vv/bigpic/parla-minu-p124.jpg,Success,
2,Parla,Sonic 3.5S,https://www.gsmarena.com/parla_sonic_3_5s-7423.php,https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-35s.jpg,Success,
3,Parla,Minu P123,https://www.gsmarena.com/parla_minu_p123-6826.php,https://fdn2.gsmarena.com/vv/bigpic/parla-P123.jpg,Success,
4,Parla,Sonic 3.5,https://www.gsmarena.com/parla_sonic_3_5-5855.php,https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-3.5.jpg,Success,
5,Parla,Zum Bianco,https://www.gsmarena.com/parla_zum_bianco-5858.php,https://fdn2.gsmarena.com/vv/bigpic/parla-zum-bianco.jpg,Success,
6,Parla,Minu,https://www.gsmarena.com/parla_minu-5854.php,https://fdn2.gsmarena.com/vv/bigpic/parla-minu.jpg,Success,
7,Parla,Gala,https://www.gsmarena.com/parla_gala-5011.php,https://fdn2.gsmarena.com/vv/bigpic/parla-gala-p730.jpg,Success,
8,Parla,Spriz,https://www.gsmarena.com/parla_spriz-5013.php,https://fdn2.gsmarena.com/vv/bigpic/parla-spriz-p430.jpg,Success,
9,Parla,Mist,https://www.gsmarena.com/parla_mist-5012.php,https://fdn2.gsmarena.com/vv/bigpic/parla-mist-p330.jpg,Success,
10,Parla,Zum,https://www.gsmarena.com/parla_zum-5014.php,https://fdn2.gsmarena.com/vv/bigpic/parla-zum-p130.jpg,Success,
