STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Plum,Ram 10 LTE,https://www.gsmarena.com/plum_ram_10_lte-11345.php,https://fdn2.gsmarena.com/vv/bigpic/plum-ram10.jpg,Success,
2,Plum,Ram Plus LTE,https://www.gsmarena.com/plum_ram_plus_lte-11346.php,https://fdn2.gsmarena.com/vv/bigpic/plum-ram-plus-.jpg,Success,
3,Plum,Flipper LTE,https://www.gsmarena.com/plum_flipper_lte-11347.php,https://fdn2.gsmarena.com/vv/bigpic/plum-flipper.jpg,Success,
4,Plum,Gator 6,https://www.gsmarena.com/plum_gator_6-11132.php,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-6.jpg,Success,
5,Plum,Ram 9,https://www.gsmarena.com/plum_ram_9-11131.php,https://fdn2.gsmarena.com/vv/bigpic/plum-ram9.jpg,Success,
6,Plum,Gator 7,https://www.gsmarena.com/plum_gator_7-11076.php,https://fdn2.gsmarena.com/vv/bigpic/plum-gator7.jpg,Success,
7,Plum,Tag 2 3G,https://www.gsmarena.com/plum_tag_2_3g-9503.php,https://fdn2.gsmarena.com/vv/bigpic/plum-tag2-3g.jpg,Success,
8,Plum,Phantom 2,https://www.gsmarena.com/plum_phantom_2-9495.php,https://fdn2.gsmarena.com/vv/bigpic/plum-z621-phantom-2.jpg,Success,
9,Plum,Optimax 13,https://www.gsmarena.com/plum_optimax_13-9494.php,https://fdn2.gsmarena.com/vv/bigpic/plum-optimax13.jpg,Success,
10,Plum,Flipper 2,https://www.gsmarena.com/plum_flipper_2-9493.php,https://fdn2.gsmarena.com/vv/bigpic/plum-flipper-2.jpg,Success,
11,Plum,Ram 8,https://www.gsmarena.com/plum_ram_8-9398.php,https://fdn2.gsmarena.com/vv/bigpic/plum-ram8.jpg,Success,
12,Plum,Gator 5,https://www.gsmarena.com/plum_gator_5-9377.php,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-5.jpg,Success,
13,Plum,Tag 3G,https://www.gsmarena.com/plum_tag_3g-9145.php,https://fdn2.gsmarena.com/vv/bigpic/plum-tag-3g.jpg,Success,
14,Plum,Optimax 11,https://www.gsmarena.com/plum_optimax_11-9130.php,https://fdn2.gsmarena.com/vv/bigpic/plum-z811.jpg,Success,
15,Plum,Optimax 12,https://www.gsmarena.com/plum_optimax_12-9129.php,https://fdn2.gsmarena.com/vv/bigpic/plum-z712.jpg,Success,
16,Plum,Optimax 2,https://www.gsmarena.com/plum_optimax_2-9128.php,https://fdn2.gsmarena.com/vv/bigpic/plum-z702n.jpg,Success,
17,Plum,Compass 2,https://www.gsmarena.com/plum_compass_2-9127.php,https://fdn2.gsmarena.com/vv/bigpic/plum-z518.jpg,Success,
18,Plum,Flipper (2018),https://www.gsmarena.com/plum_flipper_(2018)-9126.php,https://fdn2.gsmarena.com/vv/bigpic/plum-d105-2018.jpg,Success,
19,Plum,Axe 4,https://www.gsmarena.com/plum_axe_4-8969.php,https://fdn2.gsmarena.com/vv/bigpic/plum-axe-4.jpg,Success,
20,Plum,Compass LTE,https://www.gsmarena.com/plum_compass_lte-8968.php,https://fdn2.gsmarena.com/vv/bigpic/plum-compass-lte.jpg,Success,
21,Plum,Gator 4,https://www.gsmarena.com/plum_gator_4-8936.php,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-4.jpg,Success,
22,Plum,Phantom,https://www.gsmarena.com/plum_phantom-8882.php,https://fdn2.gsmarena.com/vv/bigpic/plum-z623.jpg,Success,
23,Plum,Ram 6,https://www.gsmarena.com/plum_ram_6-8734.php,https://fdn2.gsmarena.com/vv/bigpic/plum-r6.jpg,Success,
