STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Prestigio,MultiPhone 5508 Duo,https://www.gsmarena.com/prestigio_multiphone_5508_duo-6876.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5508-duo.jpg,Success,
2,Prestigio,MultiPhone 5504 Duo,https://www.gsmarena.com/prestigio_multiphone_5504_duo-6875.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5504-duo.jpg,Success,
3,Prestigio,MultiPhone 5503 Duo,https://www.gsmarena.com/prestigio_multiphone_5503_duo-6874.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5503-duo.jpg,Success,
4,Prestigio,MultiPhone 8500 Duo,https://www.gsmarena.com/prestigio_multiphone_8500_duo-6526.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8500-duo.jpg,Success,
5,Prestigio,MultiPhone 8400 Duo,https://www.gsmarena.com/prestigio_multiphone_8400_duo-6527.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8400-duo.jpg,Success,
6,Prestigio,MultiPad 4 Quantum 10.1 3G,https://www.gsmarena.com/prestigio_multipad_4_quantum_10_1_3g-6208.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-101.jpg,Success,
7,Prestigio,MultiPad 4 Quantum 9.7 Colombia,https://www.gsmarena.com/prestigio_multipad_4_quantum_9_7_colombia-6207.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-97.jpg,Success,
8,Prestigio,MultiPad 4 Ultra Quad 8.0 3G,https://www.gsmarena.com/prestigio_multipad_4_ultra_quad_8_0_3g-6206.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quad-80-3g.jpg,Success,
9,Prestigio,MultiPhone 7600 Duo,https://www.gsmarena.com/prestigio_multiphone_7600_duo-6205.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7600-duo.jpg,Success,
10,Prestigio,MultiPhone 7500,https://www.gsmarena.com/prestigio_multiphone_7500-6204.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7500.jpg,Success,
11,Prestigio,MultiPhone 5501 Duo,https://www.gsmarena.com/prestigio_multiphone_5501_duo-6203.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5501-duo.jpg,Success,
12,Prestigio,MultiPhone 5500 Duo,https://www.gsmarena.com/prestigio_multiphone_5500_duo-6202.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5500-duo.jpg,Success,
13,Prestigio,MultiPhone 5451 Duo,https://www.gsmarena.com/prestigio_multiphone_5451_duo-6201.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5450-duo.jpg,Success,
14,Prestigio,MultiPhone 5450 Duo,https://www.gsmarena.com/prestigio_multiphone_5450_duo-6200.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5450-duo.jpg,Success,
15,Prestigio,MultiPhone 3400 Duo,https://www.gsmarena.com/prestigio_multiphone_3400_duo-5888.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-MultiPhone-3400-DUO.jpg,Success,
16,Prestigio,MultiPhone 5430 Duo,https://www.gsmarena.com/prestigio_multiphone_5430_duo-5721.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5430-duo.jpg,Success,
17,Prestigio,MultiPhone 5400 Duo,https://www.gsmarena.com/prestigio_multiphone_5400_duo-5720.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5400-duo.jpg,Success,
18,Prestigio,MultiPhone 5300 Duo,https://www.gsmarena.com/prestigio_multiphone_5300_duo-5719.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5300-duo.jpg,Success,
19,Prestigio,MultiPhone 5044 Duo,https://www.gsmarena.com/prestigio_multiphone_5044_duo-5718.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5044-duo.jpg,Success,
20,Prestigio,MultiPhone 5000 Duo,https://www.gsmarena.com/prestigio_multiphone_5000_duo-5717.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5000-duo.jpg,Success,
21,Prestigio,MultiPhone 4505 Duo,https://www.gsmarena.com/prestigio_multiphone_4505_duo-5716.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4505-duo.jpg,Success,
22,Prestigio,MultiPhone 4500 Duo,https://www.gsmarena.com/prestigio_multiphone_4500_duo-5715.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4500-duo.jpg,Success,
23,Prestigio,MultiPhone 4322 Duo,https://www.gsmarena.com/prestigio_multiphone_4322_duo-5714.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4322-duo.jpg,Success,
24,Prestigio,MultiPhone 4300 Duo,https://www.gsmarena.com/prestigio_multiphone_4300_duo-5713.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-4300-duo.jpg,Success,
