STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Qtek,9600,https://www.gsmarena.com/qtek_9600-1588.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-9600.gif,Success,
2,Qtek,8600,https://www.gsmarena.com/qtek_8600-1585.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8600.gif,Success,
3,Qtek,A9100,https://www.gsmarena.com/qtek_a9100-2523.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-a9100.jpg,Success,
4,Qtek,8500,https://www.gsmarena.com/qtek_8500-1483.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8500.gif,Success,
5,Qtek,S200,https://www.gsmarena.com/qtek_s200-1417.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-s200.gif,Success,
6,Qtek,9000,https://www.gsmarena.com/qtek_9000-1264.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-9000.gif,Success,
7,Qtek,8310,https://www.gsmarena.com/qtek_8310-1253.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8310.gif,Success,
8,Qtek,8300,https://www.gsmarena.com/qtek_8300-1252.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8300.gif,Success,
9,Qtek,9100,https://www.gsmarena.com/qtek_9100-1257.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-9100.gif,Success,
10,Qtek,8100,https://www.gsmarena.com/qtek_8100-1173.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8100.gif,Success,
11,Qtek,S110,https://www.gsmarena.com/qtek_s110-1255.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-s110.gif,Success,
12,Qtek,S100,https://www.gsmarena.com/qtek_s100-1172.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-s100.gif,Success,
13,Qtek,9090,https://www.gsmarena.com/qtek_9090-1171.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-9090.gif,Success,
14,Qtek,8020,https://www.gsmarena.com/qtek_8020-1170.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8020.gif,Success,
15,Qtek,8010,https://www.gsmarena.com/qtek_8010-1169.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8010.gif,Success,
16,Qtek,2020i,https://www.gsmarena.com/qtek_2020i-1168.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-2020i.gif,Success,
17,Qtek,2020,https://www.gsmarena.com/qtek_2020-1167.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-2020.gif,Success,
18,Qtek,8080,https://www.gsmarena.com/qtek_8080-1166.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8080.gif,Success,
19,Qtek,8060,https://www.gsmarena.com/qtek_8060-1165.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-8060.gif,Success,
20,Qtek,1010,https://www.gsmarena.com/qtek_1010-1164.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-1010.gif,Success,
21,Qtek,7070,https://www.gsmarena.com/qtek_7070-1163.php,https://fdn2.gsmarena.com/vv/bigpic/qtek-7070.gif,Success,
