STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Realme,C100i (India),https://www.gsmarena.com/realme_c100i_(india)-14900.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c100i-in.jpg,Success,
2,Realme,P4s,https://www.gsmarena.com/realme_p4s_5g-14885.php,https://fdn2.gsmarena.com/vv/bigpic/realme-p4s.jpg,Success,
3,Realme,16x,https://www.gsmarena.com/realme_16x_5g-14871.php,https://fdn2.gsmarena.com/vv/bigpic/realme-16x.jpg,Success,
4,Realme,Narzo 100x,https://www.gsmarena.com/realme_narzo_100x_5g-14787.php,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-100x-5g.jpg,Success,
5,Realme,P4x 4G,https://www.gsmarena.com/realme_p4x-14744.php,https://fdn2.gsmarena.com/vv/bigpic/realme-p4x-4g.jpg,Success,
6,Realme,P4R,https://www.gsmarena.com/realme_p4r_5g-14706.php,https://fdn2.gsmarena.com/vv/bigpic/realme-p4r-5g.jpg,Success,
7,Realme,Watch S5,https://www.gsmarena.com/realme_watch_s5-14686.php,https://fdn2.gsmarena.com/vv/bigpic/realme-watch-s5.jpg,Success,
8,Realme,16T,https://www.gsmarena.com/realme_16t_5g-14674.php,https://fdn2.gsmarena.com/vv/bigpic/realme-16t.jpg,Success,
9,Realme,C100x,https://www.gsmarena.com/realme_c100x-14628.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c100x-4g.jpg,Success,
10,Realme,C100i,https://www.gsmarena.com/realme_c100i-14655.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c100i.jpg,Success,
11,Realme,Narzo 100 Lite,https://www.gsmarena.com/realme_narzo_100_lite_5g-14593.php,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-100-lite.jpg,Success,
12,Realme,C100 4G,https://www.gsmarena.com/realme_c100-14586.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c100.jpg,Success,
13,Realme,C100,https://www.gsmarena.com/realme_c100_5g-14585.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c100-5g.jpg,Success,
14,Realme,P4 Lite,https://www.gsmarena.com/realme_p4_lite_5g-14545.php,https://fdn2.gsmarena.com/vv/bigpic/realme-p4-lite-5g.jpg,Success,
15,Realme,Note 80,https://www.gsmarena.com/realme_note_80-14537.php,https://fdn2.gsmarena.com/vv/bigpic/realme-note80.jpg,Success,
16,Realme,C83,https://www.gsmarena.com/realme_c83_5g-14532.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c83.jpg,Success,
17,Realme,Narzo Power,https://www.gsmarena.com/realme_narzo_power_5g-14515.php,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-power.jpg,Success,
18,Realme,P4 Lite 4G,https://www.gsmarena.com/realme_p4_lite-14490.php,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-80-lite-4g-.jpg,Success,
19,Realme,16,https://www.gsmarena.com/realme_16_5g-14419.php,https://fdn2.gsmarena.com/vv/bigpic/realme-16-.jpg,Success,
20,Realme,P4 Power,https://www.gsmarena.com/realme_p4_power_5g-14451.php,https://fdn2.gsmarena.com/vv/bigpic/realme-p4-power.jpg,Success,
21,Realme,Neo8,https://www.gsmarena.com/realme_neo8_5g-14408.php,https://fdn2.gsmarena.com/vv/bigpic/realme-neo8.jpg,Success,
22,Realme,C85 4G,https://www.gsmarena.com/realme_c85-14435.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c85-4g.jpg,Success,
23,Realme,16 Pro+,https://www.gsmarena.com/realme_16_pro+_5g-14363.php,https://fdn2.gsmarena.com/vv/bigpic/realme-16-pro-plus.jpg,Success,
24,Realme,16 Pro,https://www.gsmarena.com/realme_16_pro_5g-14400.php,https://fdn2.gsmarena.com/vv/bigpic/realme-16-pro.jpg,Success,
25,Realme,Pad 3,https://www.gsmarena.com/realme_pad_3_5g-14401.php,https://fdn2.gsmarena.com/vv/bigpic/realme-pad3.jpg,Success,
26,Realme,Narzo 90,https://www.gsmarena.com/realme_narzo_90_5g-14345.php,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-90.jpg,Success,
27,Realme,Narzo 90X,https://www.gsmarena.com/realme_narzo_90x_5g-14346.php,https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-90x.jpg,Success,
28,Realme,P3 Lite,https://www.gsmarena.com/realme_p3_lite_5g-14360.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c75-5g.jpg,Success,
29,Realme,P3 Lite 4G,https://www.gsmarena.com/realme_p3_lite-14361.php,https://fdn2.gsmarena.com/vv/bigpic/realme-p3-lite-4g.jpg,Success,
30,Realme,P4x,https://www.gsmarena.com/realme_p4x_5g-14329.php,https://fdn2.gsmarena.com/vv/bigpic/realme-p4x.jpg,Success,
31,Realme,C85 Pro,https://www.gsmarena.com/realme_c85_pro-14275.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c85-pro.jpg,Success,
32,Realme,C85,https://www.gsmarena.com/realme_c85_5g-14274.php,https://fdn2.gsmarena.com/vv/bigpic/realme-c85.jpg,Success,
33,Realme,GT 8 Pro,https://www.gsmarena.com/realme_gt8_pro_5g_(china)-14245.php,https://fdn2.gsmarena.com/vv/bigpic/realme-gt8-pro-cn.jpg,Success,
34,Realme,GT8 (China),https://www.gsmarena.com/realme_gt8_5g_(china)-14246.php,https://fdn2.gsmarena.com/vv/bigpic/realme-gt8-cn.jpg,Success,
35,Realme,15x (India),https://www.gsmarena.com/realme_15x_5g_(india)-14173.php,https://fdn2.gsmarena.com/vv/bigpic/realme-15x.jpg,Success,
36,Realme,15 Lite,https://www.gsmarena.com/realme_15_lite_5g-14159.php,https://fdn2.gsmarena.com/vv/bigpic/realme-15-lite-5g.jpg,Success,
37,Realme,Watch 5,https://www.gsmarena.com/realme_watch_5-14109.php,https://fdn2.gsmarena.com/vv/bigpic/realme-watch5.jpg,Success,
