STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Sagem,Puma Phone,https://www.gsmarena.com/sagem_puma_phone-3140.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-puma-phone.jpg,Success,
2,Sagem,my421z,https://www.gsmarena.com/sagem_my421z-2563.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my421z.jpg,Success,
3,Sagem,Roland Garros,https://www.gsmarena.com/sagem_roland_garros-2329.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-rg.jpg,Success,
4,Sagem,myMobileTV 2,https://www.gsmarena.com/sagem_mymobiletv_2-2328.php,https://fdn2.gsmarena.com/vv/bigpic/mymobile-tv.jpg,Success,
5,Sagem,my411C Oxbow,https://www.gsmarena.com/sagem_my411c_oxbow-2514.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c-oxbow.jpg,Success,
6,Sagem,my855c,https://www.gsmarena.com/sagem_my855c-2304.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my855c.jpg,Success,
7,Sagem,my810x,https://www.gsmarena.com/sagem_my810x-2512.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my810x.jpg,Success,
8,Sagem,my750x,https://www.gsmarena.com/sagem_my750x-2303.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my750x.jpg,Success,
9,Sagem,my721x,https://www.gsmarena.com/sagem_my721x-2302.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my721x.jpg,Success,
10,Sagem,my721z,https://www.gsmarena.com/sagem_my721z-2301.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my721z.jpg,Success,
11,Sagem,my521x,https://www.gsmarena.com/sagem_my521x-2300.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my521x.jpg,Success,
12,Sagem,my519x,https://www.gsmarena.com/sagem_my519x-2299.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my519x.jpg,Success,
13,Sagem,my421x,https://www.gsmarena.com/sagem_my421x-2298.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my421x.jpg,Success,
14,Sagem,my429x,https://www.gsmarena.com/sagem_my429x-2297.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x.jpg,Success,
15,Sagem,my419x,https://www.gsmarena.com/sagem_my419x-2296.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x-new.jpg,Success,
16,Sagem,P9522 Porsche,https://www.gsmarena.com/sagem_p9522_porsche-3210.php,https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9522.jpg,Success,
17,Sagem,P9521 Porsche,https://www.gsmarena.com/sagem_p9521_porsche-3209.php,https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9521.jpg,Success,
18,Sagem,my730c,https://www.gsmarena.com/sagem_my730c-2905.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my730c.jpg,Success,
19,Sagem,my411c,https://www.gsmarena.com/sagem_my411c-2295.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c.jpg,Success,
20,Sagem,my312x,https://www.gsmarena.com/sagem_my312x-2294.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my312x.jpg,Success,
21,Sagem,my234x,https://www.gsmarena.com/sagem_my234x-2293.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg,Success,
22,Sagem,my231x,https://www.gsmarena.com/sagem_my231x-2292.php,https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg,Success,
