STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Samsung,Galaxy S26 FE,https://www.gsmarena.com/samsung_galaxy_s26_fe_5g-14870.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-samsung-galaxy-s26-fe.jpg,Success,
2,Samsung,Galaxy F70 Pro,https://www.gsmarena.com/samsung_galaxy_f70_pro_5g-14856.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f70-pro.jpg,Success,
3,Samsung,Galaxy Z Fold8 Ultra,https://www.gsmarena.com/samsung_galaxy_z_fold8_ultra_5g-14802.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold8-ultra-r1.jpg,Success,
4,Samsung,Galaxy Z Fold8,https://www.gsmarena.com/samsung_galaxy_z_fold_wide_5g-14673.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold8.jpg,Success,
5,Samsung,Galaxy Z Flip8,https://www.gsmarena.com/samsung_galaxy_z_flip8_5g-14803.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-flip8.jpg,Success,
6,Samsung,Galaxy Watch Ultra2,https://www.gsmarena.com/samsung_galaxy_watch_ultra2-14805.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch-ultra2.jpg,Success,
7,Samsung,Galaxy Watch9,https://www.gsmarena.com/samsung_galaxy_watch9-14813.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch9-.jpg,Success,
8,Samsung,Galaxy M47,https://www.gsmarena.com/samsung_galaxy_m47_5g-14749.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m47.jpg,Success,
9,Samsung,Galaxy A27,https://www.gsmarena.com/samsung_galaxy_a27_5g-14606.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a27.jpg,Success,
10,Samsung,Galaxy A57,https://www.gsmarena.com/samsung_galaxy_a57_5g-14379.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a57.jpg,Success,
11,Samsung,Galaxy A37,https://www.gsmarena.com/samsung_galaxy_a37_5g-14378.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a37.jpg,Success,
12,Samsung,Galaxy M17e,https://www.gsmarena.com/samsung_galaxy_m17e_5g-14534.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m17e.jpg,Success,
13,Samsung,Galaxy S26 Ultra,https://www.gsmarena.com/samsung_galaxy_s26_ultra_5g-14320.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s26-ultra-new.jpg,Success,
14,Samsung,Galaxy S26+,https://www.gsmarena.com/samsung_galaxy_s26+_5g-14457.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s26-plus.jpg,Success,
15,Samsung,Galaxy S26,https://www.gsmarena.com/samsung_galaxy_s26_5g-14456.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s26.jpg,Success,
16,Samsung,Galaxy F70e,https://www.gsmarena.com/samsung_galaxy_f70e_5g-14459.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f70e.jpg,Success,
17,Samsung,Galaxy A07,https://www.gsmarena.com/samsung_galaxy_a07_5g-14409.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a07-5g.jpg,Success,
18,Samsung,Galaxy Z TriFold,https://www.gsmarena.com/samsung_galaxy_z_trifold_5g-14292.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-trifold-.jpg,Success,
19,Samsung,Galaxy M17,https://www.gsmarena.com/samsung_galaxy_m17_5g-14221.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a17.jpg,Success,
20,Samsung,Galaxy F07,https://www.gsmarena.com/samsung_galaxy_f07-14205.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f07.jpg,Success,
21,Samsung,Galaxy M07,https://www.gsmarena.com/samsung_galaxy_m07-14100.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m07.jpg,Success,
22,Samsung,Galaxy A17 4G,https://www.gsmarena.com/samsung_galaxy_a17-14157.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a17.jpg,Success,
23,Samsung,Galaxy Tab A11+,https://www.gsmarena.com/samsung_galaxy_tab_a11+-14192.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a11-plus.jpg,Success,
24,Samsung,Galaxy Tab A11,https://www.gsmarena.com/samsung_galaxy_tab_a11-14141.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a11.jpg,Success,
25,Samsung,Galaxy F17,https://www.gsmarena.com/samsung_galaxy_f17_5g-14107.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f17-5g-.jpg,Success,
26,Samsung,Galaxy S25 FE,https://www.gsmarena.com/samsung_galaxy_s25_fe_5g-14042.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25-fe.jpg,Success,
27,Samsung,Galaxy Tab S11 Ultra,https://www.gsmarena.com/samsung_galaxy_tab_s11_ultra_5g-14057.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s11-ultra.jpg,Success,
28,Samsung,Galaxy Tab S11,https://www.gsmarena.com/samsung_galaxy_tab_s11_5g-14058.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s11.jpg,Success,
29,Samsung,Galaxy Tab S10 Lite,https://www.gsmarena.com/samsung_galaxy_tab_s10_lite_5g-14059.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s10-lite.jpg,Success,
30,Samsung,Galaxy A07 4G,https://www.gsmarena.com/samsung_galaxy_a07-14066.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a07.jpg,Success,
31,Samsung,Galaxy A17,https://www.gsmarena.com/samsung_galaxy_a17_5g-14041.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a17-5g.jpg,Success,
32,Samsung,Galaxy F36,https://www.gsmarena.com/samsung_galaxy_f36_5g-14009.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f36.jpg,Success,
33,Samsung,Galaxy Z Fold7,https://www.gsmarena.com/samsung_galaxy_z_fold7-13826.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold7.jpg,Success,
34,Samsung,Galaxy Z Flip7,https://www.gsmarena.com/samsung_galaxy_z_flip7-13712.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-flip7.jpg,Success,
35,Samsung,Galaxy Z Flip7 FE,https://www.gsmarena.com/samsung_galaxy_z_flip7_fe_5g-13844.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-flip7-fe-.jpg,Success,
36,Samsung,Galaxy Watch8 Classic,https://www.gsmarena.com/samsung_galaxy_watch8_classic-13998.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch8-classic.jpg,Success,
37,Samsung,Galaxy Watch8,https://www.gsmarena.com/samsung_galaxy_watch8-13997.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch8.jpg,Success,
38,Samsung,Galaxy M36,https://www.gsmarena.com/samsung_galaxy_m36_5g-13967.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m36.jpg,Success,
39,Samsung,Galaxy S25 Edge,https://www.gsmarena.com/samsung_galaxy_s25_edge-13506.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25-edge.jpg,Success,
40,Samsung,Galaxy F56,https://www.gsmarena.com/samsung_galaxy_f56_5g-13855.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f56-5g.jpg,Success,
41,Samsung,Galaxy M56,https://www.gsmarena.com/samsung_galaxy_m56_5g-13801.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m56-5g.jpg,Success,
42,Samsung,Galaxy XCover7 Pro,https://www.gsmarena.com/samsung_galaxy_xcover7_pro-13780.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover7-pro-1.jpg,Success,
43,Samsung,Galaxy Tab Active5 Pro,https://www.gsmarena.com/samsung_galaxy_tab_active5_pro-13790.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-active5-pro.jpg,Success,
44,Samsung,Galaxy Tab S10 FE+,https://www.gsmarena.com/samsung_galaxy_tab_s10_fe+-13760.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s10-fe-plus.jpg,Success,
45,Samsung,Galaxy Tab S10 FE,https://www.gsmarena.com/samsung_galaxy_tab_s10_fe-13761.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s10-fe.jpg,Success,
46,Samsung,Galaxy F16,https://www.gsmarena.com/samsung_galaxy_f16-13721.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f16-5g.jpg,Success,
47,Samsung,Galaxy A56,https://www.gsmarena.com/samsung_galaxy_a56-13603.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a56-.jpg,Success,
48,Samsung,Galaxy A36,https://www.gsmarena.com/samsung_galaxy_a36-13497.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a36.jpg,Success,
49,Samsung,Galaxy A26,https://www.gsmarena.com/samsung_galaxy_a26-13679.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a26.jpg,Success,
50,Samsung,Galaxy M16,https://www.gsmarena.com/samsung_galaxy_m16-13680.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m16-5g-.jpg,Success,
51,Samsung,Galaxy M06,https://www.gsmarena.com/samsung_galaxy_m06-13681.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m06-5g.jpg,Success,
52,Samsung,Galaxy A06 5G,https://www.gsmarena.com/samsung_galaxy_a06_5g-13662.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a06-5g.jpg,Success,
53,Samsung,Galaxy F06 5G,https://www.gsmarena.com/samsung_galaxy_f06_5g-13663.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f06-5g.jpg,Success,
54,Samsung,Galaxy S25 Ultra,https://www.gsmarena.com/samsung_galaxy_s25_ultra-13322.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25-ultra-sm-s938.jpg,Success,
55,Samsung,Galaxy S25+,https://www.gsmarena.com/samsung_galaxy_s25+-13609.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25-plus-sm-s936.jpg,Success,
56,Samsung,Galaxy S25,https://www.gsmarena.com/samsung_galaxy_s25-13610.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25-sm-s931.jpg,Success,
57,Samsung,Galaxy Z Fold Special,https://www.gsmarena.com/samsung_galaxy_z_fold_special-13452.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold-special-edition.jpg,Success,
58,Samsung,Galaxy A16,https://www.gsmarena.com/samsung_galaxy_a16-13383.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a16-lte.jpg,Success,
59,Samsung,Galaxy A16 5G,https://www.gsmarena.com/samsung_galaxy_a16_5g-13346.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a16-5g.jpg,Success,
60,Samsung,Galaxy S24 FE,https://www.gsmarena.com/samsung_galaxy_s24_fe-13262.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s24-fe-r1.jpg,Success,
61,Samsung,Galaxy Tab S10 Ultra,https://www.gsmarena.com/samsung_galaxy_tab_s10_ultra-13362.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s10-ultra.jpg,Success,
62,Samsung,Galaxy Tab S10+,https://www.gsmarena.com/samsung_galaxy_tab_s10+-13363.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s10-plus.jpg,Success,
63,Samsung,Galaxy M55s,https://www.gsmarena.com/samsung_galaxy_m55s-13354.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m55s.jpg,Success,
64,Samsung,Galaxy F05,https://www.gsmarena.com/samsung_galaxy_f05-13345.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f05.jpg,Success,
65,Samsung,Galaxy M05,https://www.gsmarena.com/samsung_galaxy_m05-13327.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m05.jpg,Success,
66,Samsung,Galaxy A06,https://www.gsmarena.com/samsung_galaxy_a06-13265.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a06-1.jpg,Success,
67,Samsung,Galaxy F14 4G,https://www.gsmarena.com/samsung_galaxy_f14_4g-13247.php,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f14-4g.jpg,Success,
