STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Sendo,X2,https://www.gsmarena.com/sendo_x2-1065.php,https://fdn2.gsmarena.com/vv/bigpic/sex2.gif,Success,
2,Sendo,S1,https://www.gsmarena.com/sendo_s1-1066.php,https://fdn2.gsmarena.com/vv/bigpic/ses1.gif,Success,
3,Sendo,K1,https://www.gsmarena.com/sendo_k1-1067.php,https://fdn2.gsmarena.com/vv/bigpic/sek1.gif,Success,
4,Sendo,P600,https://www.gsmarena.com/sendo_p600-875.php,https://fdn2.gsmarena.com/vv/bigpic/sep600.gif,Success,
5,Sendo,SV663,https://www.gsmarena.com/sendo_sv663-943.php,https://fdn2.gsmarena.com/vv/bigpic/sesv663.gif,Success,
6,Sendo,M570,https://www.gsmarena.com/sendo_m570-680.php,https://fdn2.gsmarena.com/vv/bigpic/sem570.gif,Success,
7,Sendo,S600,https://www.gsmarena.com/sendo_s600-679.php,https://fdn2.gsmarena.com/vv/bigpic/ses600.gif,Success,
8,Sendo,X,https://www.gsmarena.com/sendo_x-560.php,https://fdn2.gsmarena.com/vv/bigpic/sex.gif,Success,
9,Sendo,S360,https://www.gsmarena.com/sendo_s360-913.php,https://fdn2.gsmarena.com/vv/bigpic/ses360.gif,Success,
10,Sendo,S330,https://www.gsmarena.com/sendo_s330-572.php,https://fdn2.gsmarena.com/vv/bigpic/ses330.gif,Success,
11,Sendo,S300,https://www.gsmarena.com/sendo_s300-530.php,https://fdn2.gsmarena.com/vv/bigpic/ses300.gif,Success,
12,Sendo,M550,https://www.gsmarena.com/sendo_m550-393.php,https://fdn2.gsmarena.com/vv/bigpic/sem550.gif,Success,
13,Sendo,Z100,https://www.gsmarena.com/sendo_z100-228.php,https://fdn2.gsmarena.com/vv/bigpic/sez100.gif,Success,
14,Sendo,J530,https://www.gsmarena.com/sendo_j530-472.php,https://fdn2.gsmarena.com/vv/bigpic/sej530.gif,Success,
15,Sendo,J520,https://www.gsmarena.com/sendo_j520-275.php,https://fdn2.gsmarena.com/vv/bigpic/sej520.gif,Success,
16,Sendo,S230,https://www.gsmarena.com/sendo_s230-471.php,https://fdn2.gsmarena.com/vv/bigpic/ses230.gif,Success,
17,Sendo,P200,https://www.gsmarena.com/sendo_p200-274.php,https://fdn2.gsmarena.com/vv/bigpic/sep200.gif,Success,
18,Sendo,S200,https://www.gsmarena.com/sendo_s200-227.php,https://fdn2.gsmarena.com/vv/bigpic/ses200.gif,Success,
19,Sendo,D800,https://www.gsmarena.com/sendo_d800-218.php,https://fdn2.gsmarena.com/vv/bigpic/sed800.gif,Success,
