STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Sewon,SRS-3300,https://www.gsmarena.com/sewon_srs_3300-1004.php,https://fdn2.gsmarena.com/vv/bigpic/swsrs3300.gif,Success,
2,Sewon,SRD-3000,https://www.gsmarena.com/sewon_srd_3000-798.php,https://fdn2.gsmarena.com/vv/bigpic/swsrd3000.gif,Success,
3,Sewon,SRD-200,https://www.gsmarena.com/sewon_srd_200-797.php,https://fdn2.gsmarena.com/vv/bigpic/swsrd200.gif,Success,
4,Sewon,SGD-1050,https://www.gsmarena.com/sewon_sgd_1050-796.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd1050.gif,Success,
5,Sewon,SGD-1030,https://www.gsmarena.com/sewon_sgd_1030-795.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd1030.gif,Success,
6,Sewon,SGD-1020,https://www.gsmarena.com/sewon_sgd_1020-794.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd1020.gif,Success,
7,Sewon,SGD-1010,https://www.gsmarena.com/sewon_sgd_1010-781.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd1010.gif,Success,
8,Sewon,SGD-1000,https://www.gsmarena.com/sewon_sgd_1000-780.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd1000.gif,Success,
9,Sewon,SGD-106,https://www.gsmarena.com/sewon_sgd_106-763.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd106.gif,Success,
10,Sewon,SGD-105,https://www.gsmarena.com/sewon_sgd_105-762.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd105.gif,Success,
11,Sewon,SGD-102,https://www.gsmarena.com/sewon_sgd_102-749.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd102.gif,Success,
12,Sewon,SGD-101,https://www.gsmarena.com/sewon_sgd_101-746.php,https://fdn2.gsmarena.com/vv/bigpic/swsgd101.gif,Success,
13,Sewon,SG-2890CD,https://www.gsmarena.com/sewon_sg_2890cd-745.php,https://fdn2.gsmarena.com/vv/bigpic/sw2890cd.gif,Success,
14,Sewon,SG-2320CD,https://www.gsmarena.com/sewon_sg_2320cd-741.php,https://fdn2.gsmarena.com/vv/bigpic/sw2320cd.gif,Success,
15,Sewon,SG-2300CD,https://www.gsmarena.com/sewon_sg_2300cd-740.php,https://fdn2.gsmarena.com/vv/bigpic/sw2300cd.gif,Success,
16,Sewon,SG-2200CD,https://www.gsmarena.com/sewon_sg_2200cd-739.php,https://fdn2.gsmarena.com/vv/bigpic/sw2200cd.gif,Success,
17,Sewon,SG-2880CS,https://www.gsmarena.com/sewon_sg_2880cs-628.php,https://fdn2.gsmarena.com/vv/bigpic/sw2880cs.gif,Success,
18,Sewon,SG-2100CS,https://www.gsmarena.com/sewon_sg_2100cs-627.php,https://fdn2.gsmarena.com/vv/bigpic/sw2100cs.gif,Success,
19,Sewon,SG-2000CS,https://www.gsmarena.com/sewon_sg_2000cs-626.php,https://fdn2.gsmarena.com/vv/bigpic/sw2000cs.gif,Success,
20,Sewon,SG-P100,https://www.gsmarena.com/sewon_sg_p100-617.php,https://fdn2.gsmarena.com/vv/bigpic/swp100.gif,Success,
21,Sewon,SG-5000,https://www.gsmarena.com/sewon_sg_5000-667.php,https://fdn2.gsmarena.com/vv/bigpic/sw5000.gif,Success,
22,Sewon,SG-4500,https://www.gsmarena.com/sewon_sg_4500-613.php,https://fdn2.gsmarena.com/vv/bigpic/sw4500.gif,Success,
23,Sewon,SG-2200,https://www.gsmarena.com/sewon_sg_2200-612.php,https://fdn2.gsmarena.com/vv/bigpic/sw2200.gif,Success,
24,Sewon,SG-2000,https://www.gsmarena.com/sewon_sg_2000-611.php,https://fdn2.gsmarena.com/vv/bigpic/sw2000.gif,Success,
25,Sewon,SG-1000,https://www.gsmarena.com/sewon_sg_1000-610.php,https://fdn2.gsmarena.com/vv/bigpic/sw1000.gif,Success,
