STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Sharp,Aquos R11,https://www.gsmarena.com/sharp_aquos_r11_5g-14740.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r11.jpg,Success,
2,Sharp,Aquos sense10,https://www.gsmarena.com/sharp_aquos_sense10_5g-14289.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense10.jpg,Success,
3,Sharp,Aquos wish5,https://www.gsmarena.com/sharp_aquos_wish5_5g-13995.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish-5.jpg,Success,
4,Sharp,Aquos R10,https://www.gsmarena.com/sharp_aquos_r10_5g-13934.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r10.jpg,Success,
5,Sharp,Aquos sense9,https://www.gsmarena.com/sharp_aquos_sense9-13622.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense9.jpg,Success,
6,Sharp,Aquos R9 pro,https://www.gsmarena.com/sharp_aquos_r9_pro-13479.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r9-pro.jpg,Success,
7,Sharp,Aquos R9,https://www.gsmarena.com/sharp_aquos_r9-13483.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r9.jpg,Success,
8,Sharp,Aquos wish4,https://www.gsmarena.com/sharp_aquos_wish4-13484.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish4.jpg,Success,
9,Sharp,Aquos sense8,https://www.gsmarena.com/sharp_aquos_sense8-12904.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense8.jpg,Success,
10,Sharp,Aquos R8s,https://www.gsmarena.com/sharp_aquos_r8s-12903.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r8s.jpg,Success,
11,Sharp,Aquos R8s pro,https://www.gsmarena.com/sharp_aquos_r8s_pro-12902.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r8s-pro-.jpg,Success,
12,Sharp,Aquos R7s,https://www.gsmarena.com/sharp_aquos_r7s-12605.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r7s.jpg,Success,
13,Sharp,Aquos V7 Plus,https://www.gsmarena.com/sharp_aquos_v7_plus-12606.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v7-plus.jpg,Success,
14,Sharp,Aquos sense7 plus,https://www.gsmarena.com/sharp_aquos_sense7_plus-12565.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense7-plus.jpg,Success,
15,Sharp,Aquos sense7,https://www.gsmarena.com/sharp_aquos_sense7-12564.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense7.jpg,Success,
16,Sharp,Aquos V6 Plus,https://www.gsmarena.com/sharp_aquos_v6_plus-11868.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6plus.jpg,Success,
17,Sharp,Aquos V6,https://www.gsmarena.com/sharp_aquos_v6-11867.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6.jpg,Success,
18,Sharp,Aquos wish,https://www.gsmarena.com/sharp_aquos_wish-11847.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish.jpg,Success,
19,Sharp,Aquos zero6,https://www.gsmarena.com/sharp_aquos_zero6-11846.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero6.jpg,Success,
20,Sharp,Aquos sense5G,https://www.gsmarena.com/sharp_aquos_sense5g-11845.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense5g.jpg,Success,
21,Sharp,Aquos sense4 plus,https://www.gsmarena.com/sharp_aquos_sense4_plus-11844.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense4plus.jpg,Success,
22,Sharp,Aquos Zero 2,https://www.gsmarena.com/sharp_aquos_zero_2-10259.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero2.jpg,Success,
23,Sharp,Aquos R5G,https://www.gsmarena.com/sharp_aquos_r5g-11843.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquosr5g.jpg,Success,
24,Sharp,Aquos V,https://www.gsmarena.com/sharp_aquos_v-9962.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v.jpg,Success,
25,Sharp,Aquos R3,https://www.gsmarena.com/sharp_aquos_r3-11839.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquosa3.jpg,Success,
26,Sharp,Aquos Zero,https://www.gsmarena.com/sharp_aquos_zero-9512.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero.jpg,Success,
27,Sharp,Aquos R2 compact,https://www.gsmarena.com/sharp_aquos_r2_compact-9406.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r2-compact-.jpg,Success,
28,Sharp,Aquos D10,https://www.gsmarena.com/sharp_aquos_d10-9311.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-d10-.jpg,Success,
29,Sharp,Aquos B10,https://www.gsmarena.com/sharp_aquos_b10-9275.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-b10-.jpg,Success,
30,Sharp,Aquos C10,https://www.gsmarena.com/sharp_aquos_c10-9274.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-c10-.jpg,Success,
31,Sharp,Aquos S3 High,https://www.gsmarena.com/sharp_aquos_s3_high-9233.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-1.jpg,Success,
32,Sharp,Aquos R2,https://www.gsmarena.com/sharp_aquos_r2-9193.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r2.jpg,Success,
33,Sharp,Aquos S3,https://www.gsmarena.com/sharp_aquos_s3-9138.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-1.jpg,Success,
34,Sharp,Aquos S3 mini,https://www.gsmarena.com/sharp_aquos_s3_mini-8822.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-mini.jpg,Success,
35,Sharp,Pi,https://www.gsmarena.com/sharp_pi-9060.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-pi.jpg,Success,
36,Sharp,R1S,https://www.gsmarena.com/sharp_r1s-9059.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-r1s1.jpg,Success,
37,Sharp,Aquos S2,https://www.gsmarena.com/sharp_aquos_s2-8797.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s2.jpg,Success,
38,Sharp,Z3,https://www.gsmarena.com/sharp_z3-8787.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-z3.jpg,Success,
39,Sharp,Z2,https://www.gsmarena.com/sharp_z2-8410.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-z2.jpg,Success,
40,Sharp,MS1,https://www.gsmarena.com/sharp_ms1-8409.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-ms1.jpg,Success,
41,Sharp,Aquos Xx,https://www.gsmarena.com/sharp_aquos_xx-7252.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-xx.jpg,Success,
42,Sharp,Aquos Crystal 2,https://www.gsmarena.com/sharp_aquos_crystal_2-7251.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-crystal-2.jpg,Success,
43,Sharp,Aquos Crystal,https://www.gsmarena.com/sharp_aquos_crystal-6590.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-crystal.jpg,Success,
44,Sharp,SH530U,https://www.gsmarena.com/sharp_sh530u-5056.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-sh530u.jpg,Success,
45,Sharp,SE-02,https://www.gsmarena.com/sharp_se_02-4632.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-se-02.jpg,Success,
46,Sharp,Aquos SH80F,https://www.gsmarena.com/sharp_aquos_sh80f-4207.php,https://fdn2.gsmarena.com/vv/bigpic/orange-sharp-AQUOS-PHONE-SH80F.jpg,Success,
47,Sharp,Aquos SH8298U,https://www.gsmarena.com/sharp_aquos_sh8298u-4149.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sh8298u.jpg,Success,
