STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Siemens,AL21,https://www.gsmarena.com/siemens_al21-1379.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-al21.gif,Success,
2,Siemens,A31,https://www.gsmarena.com/siemens_a31-1378.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-a31.gif,Success,
3,Siemens,AF51,https://www.gsmarena.com/siemens_af51-1377.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-af51.gif,Success,
4,Siemens,ME75,https://www.gsmarena.com/siemens_me75-1324.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-me75.gif,Success,
5,Siemens,AP75,https://www.gsmarena.com/siemens_ap75-1326.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-ap75.gif,Success,
6,Siemens,AX72,https://www.gsmarena.com/siemens_ax72-1327.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-ax72.gif,Success,
7,Siemens,SG75,https://www.gsmarena.com/siemens_sg75-1288.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-sg75.gif,Success,
8,Siemens,SFG75,https://www.gsmarena.com/siemens_sfg75-1289.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-sfg75.gif,Success,
9,Siemens,CC75,https://www.gsmarena.com/siemens_cc75-1247.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-cc75.gif,Success,
10,Siemens,CF110,https://www.gsmarena.com/siemens_cf110-1248.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-cf110.gif,Success,
11,Siemens,C72,https://www.gsmarena.com/siemens_c72-1259.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-c72.gif,Success,
12,Siemens,S75,https://www.gsmarena.com/siemens_s75-1212.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-s75.gif,Success,
13,Siemens,SL75,https://www.gsmarena.com/siemens_sl75-1213.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-sl75.gif,Success,
14,Siemens,C75,https://www.gsmarena.com/siemens_c75-1186.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-c75.gif,Success,
15,Siemens,SP65,https://www.gsmarena.com/siemens_sp65-1135.php,https://fdn2.gsmarena.com/vv/bigpic/sisp65.gif,Success,
16,Siemens,SXG75,https://www.gsmarena.com/siemens_sxg75-1101.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-sxg75.gif,Success,
17,Siemens,M75,https://www.gsmarena.com/siemens_m75-1100.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-m75.gif,Success,
18,Siemens,CX75,https://www.gsmarena.com/siemens_cx75-1099.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-cx75.gif,Success,
19,Siemens,CF75,https://www.gsmarena.com/siemens_cf75-1098.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-cf75.gif,Success,
20,Siemens,CL75,https://www.gsmarena.com/siemens_cl75-1097.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-cl75.gif,Success,
21,Siemens,AX75,https://www.gsmarena.com/siemens_ax75-1085.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-ax75.gif,Success,
22,Siemens,A75,https://www.gsmarena.com/siemens_a75-1084.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-a75.gif,Success,
23,Siemens,A70,https://www.gsmarena.com/siemens_a70-1083.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-a70.gif,Success,
24,Siemens,SF65,https://www.gsmarena.com/siemens_sf65-888.php,https://fdn2.gsmarena.com/vv/bigpic/sisf65.gif,Success,
25,Siemens,CX70 Emoty,https://www.gsmarena.com/siemens_cx70_emoty-885.php,https://fdn2.gsmarena.com/vv/bigpic/sicx70em.gif,Success,
26,Siemens,CX70,https://www.gsmarena.com/siemens_cx70-869.php,https://fdn2.gsmarena.com/vv/bigpic/sicx70.gif,Success,
27,Siemens,SX66,https://www.gsmarena.com/siemens_sx66-992.php,https://fdn2.gsmarena.com/vv/bigpic/sisx66.gif,Success,
28,Siemens,SK65,https://www.gsmarena.com/siemens_sk65-861.php,https://fdn2.gsmarena.com/vv/bigpic/sisk65.gif,Success,
29,Siemens,A65,https://www.gsmarena.com/siemens_a65-849.php,https://fdn2.gsmarena.com/vv/bigpic/sia65.gif,Success,
30,Siemens,A62,https://www.gsmarena.com/siemens_a62-981.php,https://fdn2.gsmarena.com/vv/bigpic/sia62.gif,Success,
31,Siemens,A51,https://www.gsmarena.com/siemens_a51-982.php,https://fdn2.gsmarena.com/vv/bigpic/sia51.gif,Success,
32,Siemens,SL65,https://www.gsmarena.com/siemens_sl65-823.php,https://fdn2.gsmarena.com/vv/bigpic/sisl65.gif,Success,
