STT Hãng,Hãng,Tên Máy,Device URL,Thumbnail URL,Trạng Thái,Ghi Chú Lỗi (Cào tay)
1,Sonim,XP Pro E,https://www.gsmarena.com/sonim_xp_pro_e_5g-14273.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp-pro-e.jpg,Success,
2,Sonim,XP Pro Thermal,https://www.gsmarena.com/sonim_xp_pro_thermal_5g-14272.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp-pro-thermal.jpg,Success,
3,Sonim,XP400,https://www.gsmarena.com/sonim_xp400-13650.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp400.jpg,Success,
4,Sonim,XP Pro,https://www.gsmarena.com/sonim_xp_pro-13651.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp-pro.jpg,Success,
5,Sonim,XP10,https://www.gsmarena.com/sonim_xp10-13673.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp10.jpg,Success,
6,Sonim,XP100,https://www.gsmarena.com/sonim_xp100-13652.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp100.jpg,Success,
7,Sonim,XP5plus,https://www.gsmarena.com/sonim_xp5plus-11710.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5plus.jpg,Success,
8,Sonim,XP3plus,https://www.gsmarena.com/sonim_xp3plus-11707.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3plus.jpg,Success,
9,Sonim,XP3,https://www.gsmarena.com/sonim_xp3-11708.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3-2019-th.jpg,Success,
10,Sonim,XP5s,https://www.gsmarena.com/sonim_xp5s-11709.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5s.jpg,Success,
11,Sonim,XP8,https://www.gsmarena.com/sonim_xp8-9147.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp8.jpg,Success,
12,Sonim,XP7,https://www.gsmarena.com/sonim_xp7-6828.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp7.jpg,Success,
13,Sonim,XP6,https://www.gsmarena.com/sonim_xp6-7224.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp6.jpg,Success,
14,Sonim,XP3400 Armor,https://www.gsmarena.com/sonim_xp3400_armor-4256.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3400-armor.jpg,Success,
15,Sonim,XP5300 Force 3G,https://www.gsmarena.com/sonim_xp5300_force_3g-4255.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5300-force-3g.jpg,Success,
16,Sonim,XP3340 Sentinel,https://www.gsmarena.com/sonim_xp3340_sentinel-4254.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3340-sentinel.jpg,Success,
17,Sonim,XP3300 Force,https://www.gsmarena.com/sonim_xp3300_force-3792.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3300-force.jpg,Success,
18,Sonim,XP1300 Core,https://www.gsmarena.com/sonim_xp1300_core-3546.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp1300-core.jpg,Success,
19,Sonim,XP3 Sentinel,https://www.gsmarena.com/sonim_xp3_sentinel-3417.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3-sentinel.jpg,Success,
20,Sonim,XP2.10 Spirit,https://www.gsmarena.com/sonim_xp2_10_spirit-3009.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp2.10-spirit-new.jpg,Success,
21,Sonim,XP3.20 Quest Pro,https://www.gsmarena.com/sonim_xp3_20_quest_pro-3461.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3quest.jpg,Success,
22,Sonim,XP3.20 Quest,https://www.gsmarena.com/sonim_xp3_20_quest-2881.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3quest.jpg,Success,
23,Sonim,XP3 Enduro,https://www.gsmarena.com/sonim_xp3_enduro-2614.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3.jpg,Success,
24,Sonim,XP1,https://www.gsmarena.com/sonim_xp1-2476.php,https://fdn2.gsmarena.com/vv/bigpic/sonim-xp1.jpg,Success,
