STT,Tên Hãng,Số Máy GSMArena Báo,Số Máy Cào Thực Tế,Trạng Thái Khớp,Số Lượng Lỗi (Cần cào tay),GSMArena Brand URL
1,Acer,117,117,Đầy đủ (100%),0,https://www.gsmarena.com/acer-phones-59.php
2,alcatel,414,414,Đầy đủ (100%),0,https://www.gsmarena.com/alcatel-phones-5.php
3,Allview,157,157,Đầy đủ (100%),0,https://www.gsmarena.com/allview-phones-88.php
4,Amazon,25,25,Đầy đủ (100%),0,https://www.gsmarena.com/amazon-phones-76.php
5,Amoi,47,47,Đầy đủ (100%),0,https://www.gsmarena.com/amoi-phones-28.php
6,Apple,148,146,Chênh lệch,0,https://www.gsmarena.com/apple-phones-48.php
7,Archos,43,43,Đầy đủ (100%),0,https://www.gsmarena.com/archos-phones-90.php
8,Asus,208,208,Đầy đủ (100%),0,https://www.gsmarena.com/asus-phones-46.php
9,AT&T,4,4,Đầy đủ (100%),0,https://www.gsmarena.com/at&t-phones-57.php
10,Benefon,9,9,Đầy đủ (100%),0,https://www.gsmarena.com/benefon-phones-15.php
11,BenQ,35,35,Đầy đủ (100%),0,https://www.gsmarena.com/benq-phones-31.php
12,BenQ-Siemens,28,28,Đầy đủ (100%),0,https://www.gsmarena.com/benq_siemens-phones-42.php
13,Bird,61,61,Đầy đủ (100%),0,https://www.gsmarena.com/bird-phones-34.php
14,BlackBerry,92,92,Đầy đủ (100%),0,https://www.gsmarena.com/blackberry-phones-36.php
15,Blackview,138,138,Đầy đủ (100%),0,https://www.gsmarena.com/blackview-phones-116.php
16,BLU,369,369,Đầy đủ (100%),0,https://www.gsmarena.com/blu-phones-67.php
17,Bosch,10,10,Đầy đủ (100%),0,https://www.gsmarena.com/bosch-phones-10.php
18,BQ,20,20,Đầy đủ (100%),0,https://www.gsmarena.com/bq-phones-108.php
19,Casio,5,5,Đầy đủ (100%),0,https://www.gsmarena.com/casio-phones-77.php
20,Cat,22,22,Đầy đủ (100%),0,https://www.gsmarena.com/cat-phones-89.php
21,Celkon,229,229,Đầy đủ (100%),0,https://www.gsmarena.com/celkon-phones-75.php
22,Chea,12,12,Đầy đủ (100%),0,https://www.gsmarena.com/chea-phones-24.php
23,Coolpad,57,57,Đầy đủ (100%),0,https://www.gsmarena.com/coolpad-phones-105.php
24,Cubot,107,107,Đầy đủ (100%),0,https://www.gsmarena.com/cubot-phones-130.php
25,Dell,20,20,Đầy đủ (100%),0,https://www.gsmarena.com/dell-phones-61.php
26,Doogee,162,162,Đầy đủ (100%),0,https://www.gsmarena.com/doogee-phones-129.php
27,Emporia,15,15,Đầy đủ (100%),0,https://www.gsmarena.com/emporia-phones-93.php
28,Energizer,78,78,Đầy đủ (100%),0,https://www.gsmarena.com/energizer-phones-106.php
29,Ericsson,40,40,Đầy đủ (100%),0,https://www.gsmarena.com/ericsson-phones-2.php
30,Eten,22,22,Đầy đủ (100%),0,https://www.gsmarena.com/eten-phones-40.php
31,Fairphone,6,6,Đầy đủ (100%),0,https://www.gsmarena.com/fairphone-phones-127.php
32,Fujitsu Siemens,2,2,Đầy đủ (100%),0,https://www.gsmarena.com/fujitsu_siemens-phones-50.php
33,Garmin-Asus,5,5,Đầy đủ (100%),0,https://www.gsmarena.com/garmin_asus-phones-65.php
34,Gigabyte,63,63,Đầy đủ (100%),0,https://www.gsmarena.com/gigabyte-phones-47.php
35,Gionee,95,95,Đầy đủ (100%),0,https://www.gsmarena.com/gionee-phones-92.php
36,Google,46,45,Chênh lệch,0,https://www.gsmarena.com/google-phones-107.php
37,Haier,59,59,Đầy đủ (100%),0,https://www.gsmarena.com/haier-phones-33.php
38,HMD,40,40,Đầy đủ (100%),0,https://www.gsmarena.com/hmd-phones-133.php
39,Honor,337,337,Đầy đủ (100%),0,https://www.gsmarena.com/honor-phones-121.php
40,HP,41,41,Đầy đủ (100%),0,https://www.gsmarena.com/hp-phones-41.php
41,HTC,297,297,Đầy đủ (100%),0,https://www.gsmarena.com/htc-phones-45.php
42,Huawei,545,544,Chênh lệch,0,https://www.gsmarena.com/huawei-phones-58.php
43,i-mate,34,34,Đầy đủ (100%),0,https://www.gsmarena.com/i_mate-phones-35.php
44,i-mobile,37,37,Đầy đủ (100%),0,https://www.gsmarena.com/i_mobile-phones-52.php
45,Icemobile,61,61,Đầy đủ (100%),0,https://www.gsmarena.com/icemobile-phones-69.php
46,Infinix,172,171,Chênh lệch,0,https://www.gsmarena.com/infinix-phones-119.php
47,Innostream,18,18,Đầy đủ (100%),0,https://www.gsmarena.com/innostream-phones-29.php
48,iNQ,5,5,Đầy đủ (100%),0,https://www.gsmarena.com/inq-phones-60.php
49,Intex,15,15,Đầy đủ (100%),0,https://www.gsmarena.com/intex-phones-102.php
50,itel,65,65,Đầy đủ (100%),0,https://www.gsmarena.com/itel-phones-131.php
51,Jolla,5,5,Đầy đủ (100%),0,https://www.gsmarena.com/jolla-phones-84.php
52,Karbonn,60,60,Đầy đủ (100%),0,https://www.gsmarena.com/karbonn-phones-83.php
53,Kyocera,28,28,Đầy đủ (100%),0,https://www.gsmarena.com/kyocera-phones-17.php
54,Lava,184,184,Đầy đủ (100%),0,https://www.gsmarena.com/lava-phones-94.php
55,LeEco,9,9,Đầy đủ (100%),0,https://www.gsmarena.com/leeco-phones-109.php
56,Lenovo,266,266,Đầy đủ (100%),0,https://www.gsmarena.com/lenovo-phones-73.php
57,LG,667,667,Đầy đủ (100%),0,https://www.gsmarena.com/lg-phones-20.php
58,Maxon,31,31,Đầy đủ (100%),0,https://www.gsmarena.com/maxon-phones-14.php
59,Maxwest,41,41,Đầy đủ (100%),0,https://www.gsmarena.com/maxwest-phones-87.php
60,Meizu,87,87,Đầy đủ (100%),0,https://www.gsmarena.com/meizu-phones-74.php
61,Micromax,289,289,Đầy đủ (100%),0,https://www.gsmarena.com/micromax-phones-66.php
62,Microsoft,32,32,Đầy đủ (100%),0,https://www.gsmarena.com/microsoft-phones-64.php
63,Mitac,12,12,Đầy đủ (100%),0,https://www.gsmarena.com/mitac-phones-25.php
