price_id,variant_id,condition,price,stock_status,battery_health_percent,exterior_condition,warranty_status
P_NEW_acer_iconia_duo_s14_14707_8_256,acer_iconia_duo_s14_14707_8_256,new,14000000,in_stock,100,brand-new,yes
P_USED_acer_iconia_duo_s14_14707_8_256,acer_iconia_duo_s14_14707_8_256,used,10900000,in_stock,99,like-new,yes
P_NEW_acer_iconia_duo_s12_14708_8_256,acer_iconia_duo_s12_14708_8_256,new,3000000,in_stock,100,brand-new,yes
P_USED_acer_iconia_duo_s12_14708_8_256,acer_iconia_duo_s12_14708_8_256,used,2350000,in_stock,99,like-new,yes
P_NEW_acer_iconia_duo_d12_14709_8_128,acer_iconia_duo_d12_14709_8_128,new,5000000,in_stock,100,brand-new,yes
P_USED_acer_iconia_duo_d12_14709_8_128,acer_iconia_duo_d12_14709_8_128,used,3900000,in_stock,99,like-new,yes
P_NEW_acer_iconia_im11_22m5g_14659_8_128,acer_iconia_im11_22m5g_14659_8_128,new,6300000,in_stock,100,brand-new,yes
P_USED_acer_iconia_im11_22m5g_14659_8_128,acer_iconia_im11_22m5g_14659_8_128,used,4900000,in_stock,99,like-new,yes
P_NEW_acer_iconia_v12_14298_8_256,acer_iconia_v12_14298_8_256,new,8000000,in_stock,100,brand-new,yes
P_USED_acer_iconia_v12_14298_8_256,acer_iconia_v12_14298_8_256,used,5250000,in_stock,97,like-new,yes
P_NEW_acer_iconia_v11_14297_8_256,acer_iconia_v11_14297_8_256,new,6300000,in_stock,100,brand-new,yes
P_USED_acer_iconia_v11_14297_8_256,acer_iconia_v11_14297_8_256,used,4150000,in_stock,97,like-new,yes
P_NEW_acer_acerone_liquid_s262f5_5g_14250_8_128,acer_acerone_liquid_s262f5_5g_14250_8_128,new,2550000,in_stock,100,brand-new,yes
P_USED_acer_acerone_liquid_s262f5_5g_14250_8_128,acer_acerone_liquid_s262f5_5g_14250_8_128,used,1650000,in_stock,97,like-new,yes
P_NEW_acer_iconia_a14_14120_8_256,acer_iconia_a14_14120_8_256,new,7150000,in_stock,100,brand-new,yes
P_USED_acer_iconia_a14_14120_8_256,acer_iconia_a14_14120_8_256,used,4700000,in_stock,97,like-new,yes
P_NEW_acer_iconia_a16_14119_8_256,acer_iconia_a16_14119_8_256,new,8250000,in_stock,100,brand-new,yes
P_USED_acer_iconia_a16_14119_8_256,acer_iconia_a16_14119_8_256,used,5400000,in_stock,97,like-new,yes
P_NEW_acer_iconia_x14_14117_8_256,acer_iconia_x14_14117_8_256,new,8500000,in_stock,100,brand-new,yes
P_USED_acer_iconia_x14_14117_8_256,acer_iconia_x14_14117_8_256,used,5550000,in_stock,97,like-new,yes
P_NEW_acer_iconia_x12_14118_8_256,acer_iconia_x12_14118_8_256,new,7700000,in_stock,100,brand-new,yes
P_USED_acer_iconia_x12_14118_8_256,acer_iconia_x12_14118_8_256,used,5050000,in_stock,97,like-new,yes
