device_id,chipset,cpu,gpu,screen_size_inch,refresh_rate_hz,display_type,resolution_width,resolution_height,main_camera_mp,main_camera_aperture,has_ois,optical_zoom_x,battery_mah,charging_w,weight_g,thickness_mm,has_5g
apple_iphone_17_pro_max_13964,Apple A19 Pro (3 nm),Hexa-core (2x4.26 GHz + 4x2.60 GHz),Apple GPU (6-core graphics),6.9,120,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 1600 nits (HBM), 3000 nits (peak)",1320,2868,48,1.8,1,4.0,4823,25,233.0,8.8,1
apple_iphone_17e_14487,Apple A19 (3 nm),Hexa-core (2x4.26 GHz + 4x2.60 GHz),Apple GPU (4-core graphics),6.1,60,"Super Retina XDR OLED, HDR10, 800 nits (HBM), 1200 nits (peak)",1170,2532,48,1.6,1,0.0,4005,15,169.0,7.8,1
apple_iphone_18_pro_max,Apple A-Series,Octa-core,Adreno / Mali GPU,6.67,120,AMOLED,1080,2400,50,1.8,1,3.0,5000,67,188.0,7.9,1
apple_iphone_17_air_13502,Apple A19 Pro (3 nm),Hexa-core (2x4.26 GHz + 4x2.60 GHz),Apple GPU (5-core graphics),6.5,120,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 1600 nits (HBM), 3000 nits (peak)",1260,2736,48,1.6,1,3.0,3149,15,165.0,5.6,1
apple_iphone_16_pro_max_13123,Apple A18 Pro (3 nm),Hexa-core (2x4.05 GHz + 4x2.42 GHz),Apple GPU (6-core graphics),6.9,120,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",1320,2868,48,1.8,1,5.0,4685,25,227.0,8.3,1
apple_iphone_15_pro_max_12548,Apple A17 Pro (3 nm),Hexa-core (2x3.78 GHz + 4x2.11 GHz),Apple GPU (6-core graphics),6.7,120,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",1290,2796,48,1.8,1,5.0,4441,15,221.0,8.3,1
apple_iphone_13_pro_max_11089,Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (5-core graphics),6.7,120,"Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (HBM), 1200 nits (peak)",1284,2778,12,1.5,1,3.0,4352,15,240.0,7.7,1
apple_iphone_18_pro,Apple A-Series,Octa-core,Adreno / Mali GPU,6.67,120,AMOLED,1080,2400,50,1.8,1,3.0,5000,67,188.0,7.9,1
apple_iphone_16e_13395,Apple A18 (3 nm),Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (4-core graphics),6.1,60,"Super Retina XDR OLED, HDR10, 800 nits (HBM), 1200 nits (peak)",1170,2532,48,1.6,1,0.0,4005,5,167.0,7.8,1
apple_iphone_14_pro_11860,Apple A16 Bionic (4 nm),Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),6.1,120,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",1179,2556,48,1.8,1,3.0,3200,15,206.0,7.9,1
samsung_galaxy_s26_ultra_5g_14320,Qualcomm SM8850-1-AD Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.74 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840 (1.3GHz),6.9,120,"Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",1440,3120,200,1.4,1,3.0,5000,60,214.0,7.9,1
