device_id,brand,device_name,release_year,image_url,thumbnail_url,device_url,status
acer_iconia_duo_s14_14707,Acer,Acer Iconia Duo S14,2026,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-s14.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-s14.jpg,https://www.gsmarena.com/acer_iconia_duo_s14-14707.php,"Available. Released 2026, August"
acer_iconia_duo_s12_14708,Acer,Acer Iconia Duo S12,2026,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-s12.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-s12.jpg,https://www.gsmarena.com/acer_iconia_duo_s12-14708.php,"Available. Released 2026, August"
acer_iconia_duo_d12_14709,Acer,Acer Iconia Duo D12,2026,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-d12.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-duo-d12.jpg,https://www.gsmarena.com/acer_iconia_duo_d12-14709.php,"Available. Released 2026, August"
acer_iconia_im11_22m5g_14659,Acer,Acer Iconia iM11-22M5G,2026,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-im11-22m5g.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-im11-22m5g.jpg,https://www.gsmarena.com/acer_iconia_im11_22m5g-14659.php,"Available. Released 2026, May 07"
acer_iconia_v12_14298,Acer,Acer Iconia V12,2025,https://fdn2.gsmarena.com/vv/bigpic/acer-Iconia-v12-.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-Iconia-v12-.jpg,https://www.gsmarena.com/acer_iconia_v12-14298.php,"Available. Released 2025, July"
acer_iconia_v11_14297,Acer,Acer Iconia V11,2025,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-v11-.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-v11-.jpg,https://www.gsmarena.com/acer_iconia_v11-14297.php,"Available. Released 2025, August"
acer_acerone_liquid_s262f5_5g_14250,Acer,Acer Acerone Liquid S262F5,2025,https://fdn2.gsmarena.com/vv/bigpic/acer-acerone-liquid-s262f5.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-acerone-liquid-s262f5.jpg,https://www.gsmarena.com/acer_acerone_liquid_s262f5_5g-14250.php,"Available. Released Exp. release 2025, October"
acer_iconia_a14_14120,Acer,Acer Iconia A14,2025,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a14-.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a14-.jpg,https://www.gsmarena.com/acer_iconia_a14-14120.php,"Available. Released 2025, November"
acer_iconia_a16_14119,Acer,Acer Iconia A16,2025,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a14-.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a14-.jpg,https://www.gsmarena.com/acer_iconia_a16-14119.php,"Available. Released 2026, January"
acer_iconia_x14_14117,Acer,Acer Iconia X14,2025,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-x14-.jpg,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-x14-.jpg,https://www.gsmarena.com/acer_iconia_x14-14117.php,"Available. Released 2025, November"
